task,model_family,experiment,roc_auc,pr_auc,balanced_accuracy,f1
Task 1,Logistic L2,logreg_l2_t1_only,0.9413346104725416,0.9010487926547868,0.8706641123882501,0.7594344030009664
Task 1,Linear SVC,linear_svc_C0.1_t0_only,0.9242305236270756,0.8643467665470366,0.8764559386973179,0.7728883408759567
Task 1,XGBoost,xgboost_pca20_t1_only,0.8699968071519797,0.7819668025200748,0.8431609195402301,0.7597231200172376
Task 1,Best DL,bottleneck_mlp_t1_only_wide,0.8684929757343551,0.7867802687029316,0.8099968071519794,0.6931847716935436
Task 1,Chromosome CNN,chromosome_cnn_narrow,0.6658556832694764,0.4999163139741932,0.5842337164750957,0.3759013016185358
Task 2,Logistic L2,logreg_l2_t0_t1,0.9026233999918212,0.8779714092513716,0.8256267124688178,0.7757068168434534
Task 2,PLS-logistic,pls5_logreg_t0_only,0.8772829509671615,0.8540070274266535,0.8000163579110946,0.7442122548539226
Task 2,XGBoost,xgboost_pca50_t1_only,0.7932339590234326,0.7280443488896448,0.74838670101828,0.6935593773881547
Task 2,Best DL,mlp_t1_only_narrow,0.8287367603157079,0.7815739321064988,0.7666053245000614,0.7008609272566674
Task 2,Chromosome CNN,chromosome_cnn_wide,0.6839733366049155,0.592179854227945,0.6230830572935836,0.534368768165723
