experiment,input_key,model_type,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold,best_epoch,best_val_loss,n_parameters
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.7631578947368421,0.6208333333333333,0.7291666666666667,0.4979137488328665,0.4,0.42857142857142855,0.375,0.8666666666666667,3,4,26,5,1,2,0.9883074164390564,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.8421052631578947,0.8083333333333333,0.8083333333333333,0.699066091954023,0.6666666666666666,0.6,0.75,0.8666666666666667,6,4,26,2,2,40,0.271136611700058,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.8421052631578947,0.8582375478927202,0.8850574712643677,0.7227008900921945,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.8275862068965517,8,5,24,1,3,2,0.9257063269615173,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.7894736842105263,0.7088122605363985,0.7203065134099617,0.590850947266496,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.8620689655172413,5,4,25,4,4,8,1.0180976390838623,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.5526315789473685,0.5153256704980842,0.5977011494252873,0.5310153098250985,0.32,0.25,0.4444444444444444,0.5862068965517241,4,12,17,5,5,1,1.1049078702926636,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.8421052631578947,0.8541666666666667,0.9375,0.8375,0.7,0.5833333333333334,0.875,0.8333333333333334,7,5,25,1,6,7,0.7930644750595093,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.9210526315789473,0.8583333333333334,0.8916666666666666,0.8304761904761905,0.8,0.8571428571428571,0.75,0.9666666666666667,6,1,29,2,7,27,0.5231735110282898,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.7368421052631579,0.5977011494252873,0.5708812260536398,0.36750735198167184,0.375,0.42857142857142855,0.3333333333333333,0.8620689655172413,3,4,25,6,8,3,0.8695972561836243,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.631578947368421,0.5670498084291188,0.5823754789272031,0.5393082846593282,0.36363636363636365,0.3076923076923077,0.4444444444444444,0.6896551724137931,4,9,20,5,9,3,1.2174930572509766,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.7631578947368421,0.6915708812260537,0.6436781609195402,0.4940123274247246,0.5263157894736842,0.5,0.5555555555555556,0.8275862068965517,5,5,24,4,10,3,0.9250462055206299,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.631578947368421,0.6291666666666667,0.6000000000000001,0.3090846779994853,0.4166666666666667,0.3125,0.625,0.6333333333333333,5,11,19,3,11,1,0.9297283291816711,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.8157894736842105,0.7916666666666667,0.8999999999999999,0.8322849025974026,0.631578947368421,0.5454545454545454,0.75,0.8333333333333334,6,5,25,2,12,10,0.6783176064491272,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.868421052631579,0.7605363984674329,0.842911877394636,0.749835955462554,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.9655172413793104,5,1,28,4,13,4,0.8632035851478577,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.8157894736842105,0.7260536398467433,0.7969348659003831,0.6999268042746305,0.5882352941176471,0.625,0.5555555555555556,0.896551724137931,5,3,26,4,14,4,0.8103405833244324,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.9210526315789473,0.8716475095785441,0.9616858237547893,0.9035714285714287,0.8235294117647058,0.875,0.7777777777777778,0.9655172413793104,7,1,28,2,15,5,0.7418676018714905,385121
