experiment,input_key,model_type,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold,best_epoch,best_val_loss,n_parameters
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.7631578947368421,0.6666666666666667,0.75,0.5934935897435898,0.47058823529411764,0.4444444444444444,0.5,0.8333333333333334,4,5,25,4,1,27,0.9190225005149841,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.7894736842105263,0.5,0.8125,0.5193246081403976,0.0,0.0,0.0,1.0,0,0,30,8,2,1,1.0568416118621826,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.7105263157894737,0.6954022988505747,0.8007662835249042,0.6309353131933777,0.5217391304347826,0.42857142857142855,0.6666666666666666,0.7241379310344828,6,8,21,3,3,10,0.9774807095527649,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.7631578947368421,0.6915708812260537,0.7739463601532567,0.6499057148179956,0.5263157894736842,0.5,0.5555555555555556,0.8275862068965517,5,5,24,4,4,14,0.87403804063797,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.23684210526315788,0.5,0.5862068965517241,0.585724116974117,0.3829787234042553,0.23684210526315788,1.0,0.0,9,29,0,0,5,1,1.0818077325820923,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.8421052631578947,0.8083333333333333,0.9541666666666667,0.8943452380952381,0.6666666666666666,0.6,0.75,0.8666666666666667,6,4,26,2,6,19,0.8368961811065674,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.868421052631579,0.7791666666666667,0.7750000000000001,0.6971498599439776,0.6666666666666666,0.7142857142857143,0.625,0.9333333333333333,5,2,28,3,7,24,0.6679506301879883,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.3684210526315789,0.3946360153256705,0.3908045977011494,0.3810224143557477,0.25,0.17391304347826086,0.4444444444444444,0.3448275862068966,4,19,10,5,8,6,1.0677253007888794,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.2894736842105263,0.4961685823754789,0.4482758620689655,0.2237397377877254,0.37209302325581395,0.23529411764705882,0.8888888888888888,0.10344827586206896,8,26,3,1,9,1,1.0826021432876587,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.34210526315789475,0.37739463601532564,0.3218390804597701,0.18824738479910896,0.24242424242424243,0.16666666666666666,0.4444444444444444,0.3103448275862069,4,20,9,5,10,3,1.0766654014587402,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.21052631578947367,0.5,0.425,0.29698018377391444,0.34782608695652173,0.21052631578947367,1.0,0.0,8,30,0,0,11,1,1.0596704483032227,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.6052631578947368,0.75,0.8916666666666667,0.7743872549019608,0.5161290322580645,0.34782608695652173,1.0,0.5,8,15,15,0,12,9,0.9936419725418091,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.8157894736842105,0.6877394636015326,0.6130268199233716,0.4736145649473299,0.5333333333333333,0.6666666666666666,0.4444444444444444,0.9310344827586207,4,2,27,5,13,19,1.0593928098678589,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.5,0.5574712643678161,0.6168582375478927,0.429469696969697,0.3870967741935484,0.2727272727272727,0.6666666666666666,0.4482758620689655,6,16,13,3,14,1,1.083672046661377,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.7631578947368421,0.6915708812260537,0.7203065134099617,0.6499386091491355,0.5263157894736842,0.5,0.5555555555555556,0.8275862068965517,5,5,24,4,15,30,0.9416194558143616,97409
