fold,selected_model,selected_model_type,selected_inner_selection_metric,best_epoch,best_val_loss,n_parameters,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn
1,mlp_t1_only_narrow,mlp,0.6367619313050548,6,0.7600563764572144,260289,0.7894736842105263,0.7291666666666667,0.8374999999999999,0.7188612891737891,0.5555555555555556,0.5,0.625,0.8333333333333334,5,5,25,3
2,mlp_t1_only_wide,mlp,0.6999356972451575,63,0.2518761157989502,528769,0.868421052631579,0.7791666666666667,0.9375,0.8462121212121212,0.6666666666666666,0.7142857142857143,0.625,0.9333333333333333,5,2,28,3
3,mlp_t1_only_wide,mlp,0.5896609428606108,7,0.8536055684089661,528769,0.868421052631579,0.9137931034482758,0.946360153256705,0.8555555555555556,0.782608695652174,0.6428571428571429,1.0,0.8275862068965517,9,5,24,0
4,bottleneck_mlp_t1_only_wide,bottleneck_mlp,0.6353992554211747,8,0.903329610824585,260289,0.7894736842105263,0.7088122605363985,0.8199233716475095,0.6967711301044635,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.8620689655172413,5,4,25,4
5,bottleneck_mlp_t1_only_narrow,bottleneck_mlp,0.7526089937121229,5,0.8288697600364685,129121,0.8157894736842105,0.764367816091954,0.8237547892720307,0.7235700602079913,0.631578947368421,0.6,0.6666666666666666,0.8620689655172413,6,4,25,3
6,mlp_t1_only_narrow,mlp,0.5902760896744326,17,0.41574615240097046,260289,0.9736842105263158,0.9375,1.0,1.0,0.9333333333333333,1.0,0.875,1.0,7,0,30,1
7,bottleneck_mlp_t1_only_wide,bottleneck_mlp,0.6958698803544,148,0.08434192091226578,260289,0.8947368421052632,0.7958333333333334,0.9500000000000001,0.8821428571428571,0.7142857142857143,0.8333333333333334,0.625,0.9666666666666667,5,1,29,3
8,bottleneck_mlp_t1_only_wide,bottleneck_mlp,0.6752350855081394,7,0.8449003100395203,260289,0.7105263157894737,0.657088122605364,0.6704980842911877,0.4797335797335797,0.47619047619047616,0.4166666666666667,0.5555555555555556,0.7586206896551724,5,7,22,4
9,mlp_t1_only_wide,mlp,0.6890103975827826,4,0.9933534860610962,528769,0.7105263157894737,0.7337164750957854,0.7816091954022988,0.5865978157644824,0.56,0.4375,0.7777777777777778,0.6896551724137931,7,9,20,2
10,bottleneck_mlp_t1_only_narrow,bottleneck_mlp,0.5541533071729445,42,0.17818309366703033,129121,0.8421052631578947,0.7432950191570882,0.7739463601532567,0.6641323518135112,0.625,0.7142857142857143,0.5555555555555556,0.9310344827586207,5,2,27,4
11,bottleneck_mlp_t1_only_narrow,bottleneck_mlp,0.7043750270159099,5,0.9301456809043884,129121,0.7631578947368421,0.6666666666666667,0.7208333333333333,0.4678030303030303,0.47058823529411764,0.4444444444444444,0.5,0.8333333333333334,4,5,25,4
12,mlp_t1_only_narrow,mlp,0.48926159037010875,8,0.6285912394523621,260289,0.868421052631579,0.8708333333333333,0.9375,0.8191287878787878,0.7368421052631579,0.6363636363636364,0.875,0.8666666666666667,7,4,26,1
13,mlp_t1_only_wide,mlp,0.5407316893306091,7,0.8633843064308167,528769,0.868421052631579,0.7988505747126436,0.846743295019157,0.7855846042120553,0.7058823529411765,0.75,0.6666666666666666,0.9310344827586207,6,2,27,3
14,bottleneck_mlp_t1_only_narrow,bottleneck_mlp,0.572833651453725,8,0.8896744251251221,129121,0.868421052631579,0.8371647509578544,0.9195402298850575,0.8831585081585083,0.7368421052631579,0.7,0.7777777777777778,0.896551724137931,7,3,26,2
15,bottleneck_mlp_t1_only_narrow,bottleneck_mlp,0.5914328477884425,4,0.9072983264923096,129121,0.8421052631578947,0.8582375478927202,0.9118773946360154,0.9088012743926723,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.8275862068965517,8,5,24,1
