experiment,input_key,model_type,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold,best_epoch,best_val_loss,n_parameters
siamese_mlp_t0_t1,t0_t1_pair,siamese_mlp,0.868421052631579,0.825,0.8708333333333333,0.7784060846560846,0.7058823529411765,0.6666666666666666,0.75,0.9,6,3,27,2,1,3,1.008121132850647,276897
siamese_mlp_t0_t1,t0_t1_pair,siamese_mlp,0.8947368421052632,0.8416666666666667,0.9249999999999999,0.8520821283979179,0.75,0.75,0.75,0.9333333333333333,6,2,28,2,2,21,0.2376360148191452,276897
siamese_mlp_t0_t1,t0_t1_pair,siamese_mlp,0.868421052631579,0.7988505747126436,0.888888888888889,0.763097558711594,0.7058823529411765,0.75,0.6666666666666666,0.9310344827586207,6,2,27,3,3,2,0.9286248683929443,276897
siamese_mlp_t0_t1,t0_t1_pair,siamese_mlp,0.7894736842105263,0.7088122605363985,0.8697318007662835,0.6771413828689372,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.8620689655172413,5,4,25,4,4,3,0.9466834664344788,276897
siamese_mlp_t0_t1,t0_t1_pair,siamese_mlp,0.7631578947368421,0.6532567049808429,0.7777777777777778,0.4791245791245792,0.47058823529411764,0.5,0.4444444444444444,0.8620689655172413,4,4,25,5,5,3,0.8326679468154907,276897
siamese_mlp_t0_t1,t0_t1_pair,siamese_mlp,0.8157894736842105,0.7458333333333333,0.8291666666666666,0.7085526315789473,0.5882352941176471,0.5555555555555556,0.625,0.8666666666666667,5,4,26,3,6,3,0.8770380616188049,276897
siamese_mlp_t0_t1,t0_t1_pair,siamese_mlp,0.9210526315789473,0.8583333333333334,0.9083333333333333,0.7685705532212885,0.8,0.8571428571428571,0.75,0.9666666666666667,6,1,29,2,7,17,0.3037182688713074,276897
siamese_mlp_t0_t1,t0_t1_pair,siamese_mlp,0.7894736842105263,0.7088122605363985,0.6704980842911877,0.560520922356978,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.8620689655172413,5,4,25,4,8,3,0.9406663179397583,276897
siamese_mlp_t0_t1,t0_t1_pair,siamese_mlp,0.5789473684210527,0.6475095785440613,0.6666666666666667,0.5047954096973705,0.4666666666666667,0.3333333333333333,0.7777777777777778,0.5172413793103449,7,14,15,2,9,1,1.0984834432601929,276897
siamese_mlp_t0_t1,t0_t1_pair,siamese_mlp,0.42105263157894735,0.4291187739463601,0.4329501915708812,0.2234727350559269,0.26666666666666666,0.19047619047619047,0.4444444444444444,0.41379310344827586,4,17,12,5,10,2,1.0099438428878784,276897
siamese_mlp_t0_t1,t0_t1_pair,siamese_mlp,0.631578947368421,0.5833333333333333,0.6083333333333334,0.2931101190476191,0.36363636363636365,0.2857142857142857,0.5,0.6666666666666666,4,10,20,4,11,2,0.9865108728408813,276897
siamese_mlp_t0_t1,t0_t1_pair,siamese_mlp,0.8421052631578947,0.8541666666666667,0.9333333333333332,0.8514411027568922,0.7,0.5833333333333334,0.875,0.8333333333333334,7,5,25,1,12,3,0.6978746056556702,276897
siamese_mlp_t0_t1,t0_t1_pair,siamese_mlp,0.7105263157894737,0.6954022988505747,0.7624521072796935,0.6138107263107264,0.5217391304347826,0.42857142857142855,0.6666666666666666,0.7241379310344828,6,8,21,3,13,2,0.9585139155387878,276897
siamese_mlp_t0_t1,t0_t1_pair,siamese_mlp,0.7631578947368421,0.7298850574712643,0.8045977011494253,0.6312889044506691,0.5714285714285714,0.5,0.6666666666666666,0.7931034482758621,6,6,23,3,14,3,0.9551939964294434,276897
siamese_mlp_t0_t1,t0_t1_pair,siamese_mlp,0.6842105263157895,0.7164750957854407,0.7279693486590038,0.4880980302806928,0.5384615384615384,0.4117647058823529,0.7777777777777778,0.6551724137931034,7,10,19,2,15,1,1.0759878158569336,276897
