experiment,input_key,model_type,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold,best_epoch,best_val_loss,n_parameters
mlp_t1_only_wide,t1_only,mlp,0.7631578947368421,0.6208333333333333,0.8125,0.6526515151515151,0.4,0.42857142857142855,0.375,0.8666666666666667,3,4,26,5,1,11,0.7292745113372803,260289
mlp_t1_only_wide,t1_only,mlp,0.868421052631579,0.825,0.9500000000000001,0.8611492673992674,0.7058823529411765,0.6666666666666666,0.75,0.9,6,3,27,2,2,41,0.13320153951644897,260289
mlp_t1_only_wide,t1_only,mlp,0.9473684210526315,0.8888888888888888,0.9655172413793103,0.9232804232804235,0.875,1.0,0.7777777777777778,1.0,7,0,29,2,3,6,0.8203080296516418,260289
mlp_t1_only_wide,t1_only,mlp,0.7894736842105263,0.7471264367816092,0.8582375478927202,0.7213773455152765,0.6,0.5454545454545454,0.6666666666666666,0.8275862068965517,6,5,24,3,4,5,0.8028566837310791,260289
mlp_t1_only_wide,t1_only,mlp,0.7368421052631579,0.6743295019157088,0.7279693486590039,0.4842873176206509,0.5,0.45454545454545453,0.5555555555555556,0.7931034482758621,5,6,23,4,5,3,0.977605402469635,260289
mlp_t1_only_wide,t1_only,mlp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0,30,0,6,15,0.41419994831085205,260289
mlp_t1_only_wide,t1_only,mlp,0.9210526315789473,0.8583333333333334,0.9583333333333333,0.9181985294117647,0.8,0.8571428571428571,0.75,0.9666666666666667,6,1,29,2,7,43,0.07207365334033966,260289
mlp_t1_only_wide,t1_only,mlp,0.7105263157894737,0.657088122605364,0.6743295019157087,0.4350200119033968,0.47619047619047616,0.4166666666666667,0.5555555555555556,0.7586206896551724,5,7,22,4,8,2,0.9428116679191589,260289
mlp_t1_only_wide,t1_only,mlp,0.6842105263157895,0.6015325670498084,0.685823754789272,0.49257454606030315,0.4,0.36363636363636365,0.4444444444444444,0.7586206896551724,4,7,22,5,9,1,1.050957202911377,260289
mlp_t1_only_wide,t1_only,mlp,0.868421052631579,0.7605363984674329,0.7739463601532567,0.721677559912854,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.9655172413793104,5,1,28,4,10,11,0.46199458837509155,260289
mlp_t1_only_wide,t1_only,mlp,0.8421052631578947,0.8083333333333333,0.8333333333333334,0.6638227513227514,0.6666666666666666,0.6,0.75,0.8666666666666667,6,4,26,2,11,7,0.6866568326950073,260289
mlp_t1_only_wide,t1_only,mlp,0.7894736842105263,0.775,0.9333333333333333,0.8116529304029304,0.6,0.5,0.75,0.8,6,6,24,2,12,5,0.605049192905426,260289
mlp_t1_only_wide,t1_only,mlp,0.8421052631578947,0.7816091954022988,0.8390804597701148,0.7896613190730839,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.896551724137931,6,3,26,3,13,5,0.7395143508911133,260289
mlp_t1_only_wide,t1_only,mlp,0.9473684210526315,0.8888888888888888,0.9157088122605364,0.8888888888888891,0.875,1.0,0.7777777777777778,1.0,7,0,29,2,14,8,0.8977513313293457,260289
mlp_t1_only_wide,t1_only,mlp,0.7894736842105263,0.8237547892720306,0.9118773946360154,0.8512874779541448,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.7586206896551724,8,7,22,1,15,2,1.0826363563537598,260289
