experiment,feature_set,model,n_samples,n_features,n_cv_fits,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,recall_sensitivity_mean,recall_sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,pooled_roc_auc,pooled_pr_auc,pooled_balanced_accuracy,pooled_recall_sensitivity,pooled_specificity,pooled_tp,pooled_fp,pooled_tn,pooled_fn,pooled_accuracy,pooled_f1,pooled_precision
logreg_l2_t1_only,t1_only,logreg_l2,190,2000,15,0.9413346104725415,0.059114328445588615,0.9010487926547868,0.09144398488708995,0.8706641123882501,0.07671873276200554,0.8703703703703705,0.11181161457833855,0.8709578544061305,0.07727996078171247,0.7594344030009664,0.12422937741674617,0.6842901869372457,0.15522885627927993,0.8701754385964912,0.0720458749630772,0.9372462163159837,0.8867841359123305,0.8694826767916468,0.8682170542635659,0.8707482993197279,112,57,384,17,0.8701754385964913,0.7516778523489933,0.6627218934911243
logreg_l2_t0_t1,t0_t1,logreg_l2,190,4000,15,0.9374712643678164,0.06571924320911642,0.8871282529280281,0.1035205174166557,0.870456577266922,0.06891466680200303,0.887962962962963,0.12603918420602542,0.8529501915708814,0.06548045328283059,0.7439283255543855,0.09319824227095459,0.651951566951567,0.12066599932029567,0.8596491228070174,0.05684860261761279,0.9328341155583681,0.8802879492588298,0.8681643199915625,0.8837209302325582,0.8526077097505669,114,65,376,15,0.8596491228070176,0.7402597402597403,0.6368715083798883
logreg_l2_t0_only,t0_only,logreg_l2,190,2000,15,0.9322062579821201,0.06003832549194903,0.8749092108934062,0.0854643114486535,0.8670817369093231,0.07843824570720094,0.8425925925925927,0.16108944389971694,0.8915708812260537,0.05104030105346544,0.7564464190779979,0.09879165793184769,0.7033679283679285,0.11265626746361142,0.8789473684210527,0.04749356901459776,0.925328270843221,0.86477783771823,0.8641828824553077,0.8372093023255814,0.891156462585034,108,48,393,21,0.8789473684210526,0.7578947368421053,0.6923076923076923
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,190,6000,15,0.92058748403576,0.06872180268179758,0.8546344592727249,0.12411205367922765,0.8278288633461046,0.06624788860488319,0.8481481481481481,0.11720241062303072,0.8075095785440615,0.07139384745060072,0.6787947756963775,0.0887208144685312,0.5746784098254687,0.10495639176373653,0.8157894736842105,0.05967860100145693,0.9126193112904076,0.8306274450133168,0.826108738068871,0.8449612403100775,0.8072562358276644,109,85,356,20,0.8157894736842105,0.6749226006191951,0.5618556701030928
pca20_logreg_t0_only,t0_only,pca20_logreg,190,2000,15,0.8975415070242655,0.06681029741712773,0.7987597081399262,0.08615841094597704,0.7873659003831418,0.09191181889022125,0.6583333333333333,0.21153622610774803,0.9163984674329503,0.05217006584687485,0.6616023644971013,0.11815075548022469,0.7213395863395864,0.13224895871493947,0.8561403508771929,0.0408490550374689,0.8773049271388141,0.7568031872512809,0.7836312819701524,0.6511627906976745,0.9160997732426304,84,37,404,45,0.856140350877193,0.672,0.6942148760330579
logreg_l2_t0_delta,t0_delta,logreg_l2,190,4000,15,0.8872541507024267,0.07297382818439525,0.7876121572609535,0.13388253182762708,0.7873659003831418,0.06198166091747504,0.7805555555555554,0.15396365154305955,0.7941762452107279,0.07451719625264192,0.6253770751765096,0.06504486563604506,0.5372567628449982,0.08347257910030265,0.7894736842105261,0.046652908443574635,0.8757404770693807,0.7619781194070389,0.784422296050203,0.7751937984496124,0.7936507936507936,100,91,350,29,0.7894736842105263,0.625,0.5235602094240838
pca10_logreg_t0_only,t0_only,pca10_logreg,190,2000,15,0.8784578544061301,0.07723796918650215,0.7672680947429634,0.11099932568745742,0.7752234993614304,0.09155097564856556,0.6814814814814815,0.2172348742577222,0.8689655172413794,0.06804669817218703,0.6259523699455048,0.10797979488783409,0.628081918081918,0.13769942211338676,0.8245614035087719,0.04521708910443287,0.8528010687479125,0.7332432914388436,0.7714496651373728,0.6744186046511628,0.8684807256235828,87,58,383,42,0.8245614035087719,0.635036496350365,0.6
pca20_logreg_t0_delta,t0_delta,pca20_logreg,190,4000,15,0.8219029374201787,0.0878715167399694,0.6380935198707838,0.14357800354299757,0.7254469987228607,0.07444100045059145,0.5685185185185185,0.1506404122526386,0.8823754789272031,0.06759400704889458,0.5728743135089884,0.11716325781837575,0.612979427979428,0.17590599259875941,0.8105263157894735,0.05466015449225816,0.8075726414596847,0.5678028635496034,0.7239888203343353,0.5658914728682171,0.8820861678004536,73,52,389,56,0.8105263157894737,0.5748031496062992,0.584
pca10_logreg_t0_delta,t0_delta,pca10_logreg,190,4000,15,0.7312324393358876,0.09235011089416996,0.5073116851908686,0.12659069543161378,0.6675766283524904,0.1046825284676182,0.5638888888888889,0.19092622101086204,0.7712643678160919,0.10790438963863315,0.4784816168013099,0.14153493618469923,0.43631311498958564,0.1522658556364921,0.7228070175438597,0.09108819042863125,0.7166939127072016,0.40485954326904444,0.6645572957865317,0.5581395348837209,0.7709750566893424,72,101,340,57,0.7228070175438597,0.4768211920529801,0.4161849710982659
logreg_l2_delta_only,delta_only,logreg_l2,190,2000,15,0.5896072796934866,0.10026713759610761,0.4278671267066167,0.13891083309011606,0.5852873563218391,0.08674158401913508,0.4333333333333333,0.1613059850448441,0.7372413793103447,0.06946426118174835,0.3671936007835859,0.12081627713416417,0.32571854071854073,0.105382460151147,0.6684210526315789,0.06353272232865445,0.5868797131255603,0.3594451673402629,0.5855349891894742,0.43410852713178294,0.7369614512471655,56,116,325,73,0.6684210526315789,0.37209302325581395,0.32558139534883723
majority_class,t0_only,majority_class,190,2000,15,0.5,0.0,0.22631578947368422,0.01334454086413447,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7736842105263159,0.013344540864134457,0.5,0.22631578947368422,0.5,0.0,1.0,0,0,441,129,0.7736842105263158,0.0,0.0
