experiment,feature_set,model,n_samples,n_features,effective_n_features,n_cv_fits,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,recall_sensitivity_mean,recall_sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,pooled_roc_auc,pooled_pr_auc,pooled_balanced_accuracy,pooled_recall_sensitivity,pooled_specificity,pooled_f1,pooled_precision,pooled_tp,pooled_fp,pooled_tn,pooled_fn,pooled_accuracy
ridge_t0_t1,t0_t1,ridge_classifier,190,4000,4000,15,0.9540740740740741,0.0414182779484895,0.9064189672500605,0.07002544292251271,0.7729246487867178,0.09569668963512533,0.548148148148148,0.18984546145679565,0.9977011494252873,0.008903409991281405,0.6872283272283273,0.16016507027945295,0.9866666666666667,0.05163977794943221,0.8947368421052629,0.046652908443574656,0.948865334247394,0.8984543335130132,0.7701840426092917,0.5426356589147286,0.9977324263038548,0.7,0.9859154929577465,70,1,440,59,0.8947368421052632
pls5_logreg_t0_only,t0_only,pls5_logreg,190,2000,5,15,0.9533173690932313,0.030589314179008755,0.8932541702125035,0.06387297518848584,0.8748882503192849,0.03258821064405349,0.9398148148148149,0.07191376948147474,0.8099616858237549,0.06397615221721285,0.727403125732645,0.055506140627159375,0.6007437007437008,0.0820965798984002,0.8385964912280702,0.04320310609439635,0.945666121745856,0.8831974108209343,0.8737541528239203,0.937984496124031,0.8095238095238095,0.7245508982035929,0.5902439024390244,121,84,357,8,0.8385964912280702
ridge_alpha10_t1_only,t1_only,ridge_classifier_alpha10,190,2000,2000,15,0.9514942528735632,0.04196635441084766,0.913029204172479,0.07440286481402436,0.7778320561941251,0.0669594841476573,0.5601851851851852,0.1320401351699869,0.9954789272030651,0.01193305811803043,0.7029426129426128,0.11474886668344919,0.9738095238095238,0.07202134982025798,0.8964912280701753,0.03368107754853601,0.9468086976392623,0.8991147548279307,0.7768021937457154,0.5581395348837209,0.9954648526077098,0.7093596059113301,0.972972972972973,72,2,439,57,0.8964912280701754
ridge_t1_only,t1_only,ridge_classifier,190,2000,2000,15,0.9512164750957854,0.041753807926191294,0.9126018537451286,0.07414201521798543,0.7778320561941251,0.0669594841476573,0.5601851851851852,0.1320401351699869,0.9954789272030651,0.01193305811803043,0.7029426129426128,0.11474886668344919,0.9738095238095238,0.07202134982025798,0.8964912280701753,0.03368107754853601,0.9468262757299303,0.899088565485783,0.7768021937457154,0.5581395348837209,0.9954648526077098,0.7093596059113301,0.972972972972973,72,2,439,57,0.8964912280701754
pls20_logreg_t1_only,t1_only,pls20_logreg,190,2000,20,15,0.948662196679438,0.046579475436588,0.9087262405127903,0.08115334793054184,0.8753959131545338,0.05106269664236024,0.9314814814814816,0.07168348106757863,0.8193103448275862,0.0807456801464594,0.7351169388850549,0.08721437701442264,0.6157672006356216,0.11129833328842414,0.8438596491228069,0.06404967732996848,0.9450860447538187,0.8967904782624795,0.8744133312239624,0.9302325581395349,0.81859410430839,0.729483282674772,0.6,120,80,361,9,0.843859649122807
pls10_logreg_t1_only,t1_only,pls10_logreg,190,2000,10,15,0.948662196679438,0.046579475436588,0.9083965547664378,0.08191197114529873,0.8663761174968071,0.06511031358669701,0.9157407407407407,0.08992860843431524,0.8170114942528737,0.07892890353730116,0.7246407698581613,0.09930982084648411,0.6071716246716246,0.11573683432953595,0.8385964912280701,0.0688151365476484,0.94499815430048,0.8969388823816944,0.8655276063913937,0.9147286821705426,0.8163265306122449,0.7195121951219512,0.592964824120603,118,81,360,11,0.8385964912280702
pls5_logreg_t1_only,t1_only,pls5_logreg,190,2000,5,15,0.9483077905491698,0.05016383579658189,0.9075578165979559,0.08319683738327298,0.8774010217113666,0.05657976234137293,0.924074074074074,0.09165864964140502,0.8307279693486591,0.07838091644470571,0.7423369168484261,0.09959745587894513,0.6331352307822896,0.14198433006197128,0.8508771929824561,0.06264410902230569,0.9446290143964563,0.8975411690106901,0.8762062964720772,0.9224806201550387,0.8299319727891157,0.7368421052631579,0.6134020618556701,119,75,366,10,0.8508771929824561
pls20_logreg_t0_only,t0_only,pls20_logreg,190,2000,20,15,0.9481864623243935,0.0350181221294579,0.877712096379967,0.07997451633296603,0.8483780332056194,0.046397788707668274,0.9185185185185186,0.1292132390295421,0.7782375478927204,0.07749093057341905,0.6852403165020385,0.05212442500359904,0.5583297306981517,0.0682717211561134,0.8087719298245616,0.04499776482452513,0.9381954332120445,0.8619172296193993,0.8462532299741602,0.9147286821705426,0.7777777777777778,0.6840579710144927,0.5462962962962963,118,98,343,11,0.8087719298245614
pls10_logreg_t0_only,t0_only,pls10_logreg,190,2000,10,15,0.9481864623243935,0.034747588391537514,0.8774580943715791,0.07977913640298798,0.847228607918263,0.04680549547755272,0.9185185185185186,0.1292132390295421,0.7759386973180078,0.07752989097268966,0.68330794935228,0.05224799558617359,0.5557900481584692,0.06845795434131026,0.8070175438596492,0.04521708910443286,0.9385294169347325,0.8616307805929274,0.8451194431260876,0.9147286821705426,0.7755102040816326,0.6820809248554913,0.543778801843318,118,99,342,11,0.8070175438596491
linear_svc_t1_only,t1_only,linear_svc_l2,190,2000,2000,15,0.9434227330779055,0.057437611779584306,0.9055319120338471,0.08689931163745954,0.8738569604086843,0.0753728758744833,0.862962962962963,0.11415313260579169,0.8847509578544062,0.08367205569071391,0.7718063087010455,0.12610641458543517,0.7138641315111903,0.16997183843069763,0.8789473684210526,0.0736304852471885,0.9387579321134137,0.8904860045564585,0.8724094288878341,0.8604651162790697,0.8843537414965986,0.7628865979381443,0.6851851851851852,111,51,390,18,0.8789473684210526
