experiment,feature_set,model,model_type,threshold_mode,k_best,pca_components,n_samples,n_features,n_cv_fits,threshold_mean,threshold_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,recall_sensitivity_mean,recall_sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,pooled_threshold,pooled_roc_auc,pooled_pr_auc,pooled_balanced_accuracy,pooled_recall_sensitivity,pooled_specificity,pooled_f1,pooled_precision,pooled_tp,pooled_fp,pooled_tn,pooled_fn,pooled_accuracy,effective_n_features
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,190,2000,15,0.5,0.0,0.7324042145593871,0.09205321467976149,0.4938777841802794,0.120016837707811,0.5424010217113666,0.05141093886969082,0.10740740740740741,0.08931363467039313,0.9773946360153257,0.02779296717750519,0.17609427609427614,0.13923630517820404,0.5777777777777777,0.4403581995550257,0.7807017543859648,0.033973538124626466,0.5,0.7200337499340821,0.4118547490756925,0.5429256974107473,0.10852713178294573,0.9773242630385488,0.1830065359477124,0.5833333333333334,14,10,431,115,0.7807017543859649,2000
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,190,2000,15,0.25333333333333324,0.06805110124716852,0.7324042145593871,0.09205321467976149,0.4938777841802794,0.120016837707811,0.73242656449553,0.08099069354112604,0.8370370370370371,0.1293837426080416,0.627816091954023,0.21025741362020617,0.5534029691931662,0.09022836219391082,0.4305105598927109,0.11622205872246492,0.6754385964912282,0.14367920708833176,0.275,0.7200337499340821,0.4118547490756925,0.6976744186046511,0.7286821705426356,0.6666666666666666,0.5081081081081081,0.3900414937759336,94,147,294,35,0.6807017543859649,2000
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,190,2000,15,0.5,0.0,0.7380587484035761,0.10560999304949688,0.532344144253186,0.1604548983586252,0.6022190293742019,0.08840055399551446,0.25462962962962965,0.15954239934853778,0.9498084291187738,0.03658781734276287,0.3438894438894439,0.20117112288413858,0.548888888888889,0.2981069017445334,0.7929824561403508,0.05702236339761976,0.5,0.7282602963666087,0.47919509360143275,0.6029636660865897,0.2558139534883721,0.9501133786848073,0.358695652173913,0.6,33,22,419,96,0.7929824561403509,2000
xgboost_raw_t1_only,t1_only,xgboost,raw,tuned_f1,,,190,2000,15,0.3,0.1013304354222222,0.7380587484035761,0.10560999304949688,0.532344144253186,0.1604548983586252,0.7341091954022989,0.07233898136106891,0.736111111111111,0.16197088596792497,0.7321072796934867,0.14410672809775127,0.5627712981992158,0.09679684940928558,0.48523163111398404,0.1611811675671933,0.7333333333333333,0.09376415163822661,0.275,0.7282602963666087,0.47919509360143275,0.6985181669567051,0.7054263565891473,0.691609977324263,0.5112359550561798,0.4008810572687225,91,136,305,38,0.6947368421052632,2000
xgboost_raw_delta_only,delta_only,xgboost,raw,default_0.5,,,190,2000,15,0.5,0.0,0.6429629629629631,0.1489479545154552,0.46310642421070647,0.1875426856130245,0.573352490421456,0.08210810235163488,0.19444444444444448,0.16790216665111135,0.9522605363984673,0.04223675268535027,0.2642670292670293,0.18964927798137587,0.5365079365079365,0.34195206817800783,0.7807017543859648,0.04838780595565869,0.5,0.6315104853310833,0.39258462242619196,0.5730897009966778,0.1937984496124031,0.9523809523809523,0.2857142857142857,0.5434782608695652,25,21,420,104,0.7807017543859649,2000
xgboost_raw_delta_only,delta_only,xgboost,raw,tuned_f1,,,190,2000,15,0.26333333333333336,0.12495237187862916,0.6429629629629631,0.1489479545154552,0.46310642421070647,0.1875426856130245,0.6718646232439337,0.08672684013216549,0.7629629629629628,0.18666898934055087,0.5807662835249042,0.3078110599326345,0.5045502326303242,0.10384610182288548,0.4270527889722936,0.18994335557225775,0.6210526315789474,0.20233109250254314,0.35,0.6315104853310833,0.39258462242619196,0.618889416231609,0.4418604651162791,0.7959183673469388,0.41304347826086957,0.3877551020408163,57,90,351,72,0.7157894736842105,2000
xgboost_raw_t0_t1,t0_t1,xgboost,raw,default_0.5,,,190,4000,15,0.5,0.0,0.7657694763729247,0.11175623306174233,0.5571587833827725,0.15104475771240394,0.5924872286079182,0.0840368537929518,0.2212962962962963,0.15576681610475357,0.9636781609195401,0.03267511610887727,0.31280497280497277,0.20141473944872545,0.6022222222222222,0.3463452417098096,0.794736842105263,0.0528192144050631,0.5,0.7600239062033082,0.502754364558017,0.5903865422137847,0.21705426356589147,0.963718820861678,0.3236994219653179,0.6363636363636364,28,16,425,101,0.7947368421052632,4000
xgboost_raw_t0_t1,t0_t1,xgboost,raw,tuned_f1,,,190,4000,15,0.30833333333333335,0.10293317295817757,0.7657694763729247,0.11175623306174233,0.5571587833827725,0.15104475771240394,0.7474329501915707,0.06747479426074364,0.7333333333333333,0.16783650291506425,0.7615325670498084,0.17288052135200832,0.5911464092515644,0.09086800138911308,0.547944182269125,0.1907340832738368,0.7561403508771929,0.11317392204501579,0.25,0.7600239062033082,0.502754364558017,0.7099615039814375,0.7441860465116279,0.6757369614512472,0.5217391304347826,0.401673640167364,96,143,298,33,0.6912280701754386,4000
xgboost_raw_t0_delta,t0_delta,xgboost,raw,default_0.5,,,190,4000,15,0.5,0.0,0.7361685823754789,0.12063963465264264,0.5133475168394701,0.13765531331178366,0.5449010217113666,0.06067654185651859,0.11018518518518518,0.11590200405681368,0.9796168582375478,0.02134726957365994,0.17252525252525255,0.17597935949631982,0.43333333333333335,0.4216370213557839,0.7824561403508772,0.0365003844305783,0.5,0.7241470231503453,0.4635682346570988,0.5440594842588198,0.10852713178294573,0.9795918367346939,0.18421052631578946,0.6086956521739131,14,9,432,115,0.7824561403508772,4000
xgboost_raw_t0_delta,t0_delta,xgboost,raw,tuned_f1,,,190,4000,15,0.26666666666666666,0.0843391678764691,0.7361685823754789,0.12063963465264264,0.5133475168394701,0.13765531331178366,0.7315261813537677,0.08776634399125101,0.787037037037037,0.14092423988590166,0.6760153256704983,0.2456314296101498,0.570295571404688,0.0906311465017496,0.4825397968045026,0.1505541252258017,0.7035087719298246,0.16687099992513293,0.25,0.7241470231503453,0.4635682346570988,0.6829351895797078,0.7286821705426356,0.63718820861678,0.4908616187989556,0.3700787401574803,94,160,281,35,0.6578947368421053,4000
