fold,selected_model,selected_model_type,selected_inner_selection_metric,best_epoch,best_val_loss,n_parameters,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn
1,chromosome_cnn_narrow,chromosome_cnn,0.49209938009681287,22,0.8338858485221863,27105,0.7540983606557377,0.7086247086247086,0.7610722610722611,0.7489429290163006,0.6153846153846154,0.7058823529411765,0.5454545454545454,0.8717948717948718,12,5,34,10
2,chromosome_cnn_wide,chromosome_cnn,0.5793019519639953,23,0.8216832876205444,60225,0.6666666666666666,0.6698564593301435,0.75,0.585934721300233,0.6,0.5357142857142857,0.6818181818181818,0.6578947368421053,15,13,25,7
3,chromosome_cnn_narrow,chromosome_cnn,0.4424316448852184,22,0.6194164156913757,27105,0.6166666666666667,0.6208133971291866,0.6889952153110048,0.5988409010362595,0.5490196078431373,0.4827586206896552,0.6363636363636364,0.6052631578947368,14,15,23,8
4,chromosome_cnn_wide,chromosome_cnn,0.6101838500024193,33,0.8254212737083435,60225,0.5333333333333333,0.49760765550239233,0.5406698564593302,0.4927263693656275,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.631578947368421,8,14,24,14
5,chromosome_cnn_wide,chromosome_cnn,0.49369039052137437,25,0.6919105052947998,60225,0.6166666666666667,0.5633971291866029,0.6794258373205742,0.5962459120500225,0.41025641025641024,0.47058823529411764,0.36363636363636365,0.7631578947368421,8,9,29,14
6,chromosome_cnn_wide,chromosome_cnn,0.568530099381808,20,0.7683247327804565,60225,0.5901639344262295,0.5804195804195804,0.6223776223776224,0.5012090735222422,0.4897959183673469,0.4444444444444444,0.5454545454545454,0.6153846153846154,12,15,24,10
7,chromosome_cnn_wide,chromosome_cnn,0.5059598315228544,25,0.7199339270591736,60225,0.7166666666666667,0.6997607655502392,0.7248803827751196,0.6462178509934118,0.6222222222222222,0.6086956521739131,0.6363636363636364,0.7631578947368421,14,9,29,8
8,chromosome_cnn_wide,chromosome_cnn,0.48162664985183135,13,0.8575600385665894,60225,0.6,0.6267942583732058,0.7380382775119618,0.655480721602349,0.5714285714285714,0.47058823529411764,0.7272727272727273,0.5263157894736842,16,18,20,6
9,chromosome_cnn_narrow,chromosome_cnn,0.5649138824341953,21,0.7728852033615112,27105,0.65,0.6471291866028708,0.6638755980861244,0.6141617965355962,0.5714285714285714,0.5185185185185185,0.6363636363636364,0.6578947368421053,14,13,25,8
10,chromosome_cnn_wide,chromosome_cnn,0.545435056093018,14,0.8363187313079834,60225,0.6333333333333333,0.6339712918660287,0.6602870813397129,0.5593431095813227,0.56,0.5,0.6363636363636364,0.631578947368421,14,14,24,8
11,chromosome_cnn_wide,chromosome_cnn,0.623661088099094,25,0.8450464606285095,60225,0.6557377049180327,0.6217948717948718,0.6608391608391608,0.4830937980852241,0.5116279069767442,0.5238095238095238,0.5,0.7435897435897436,11,10,29,11
12,chromosome_cnn_narrow,chromosome_cnn,0.5107069915214936,7,0.8804218173027039,27105,0.5333333333333333,0.6028708133971292,0.7260765550239235,0.6757768196867091,0.5757575757575758,0.4318181818181818,0.8636363636363636,0.34210526315789475,19,25,13,3
13,chromosome_cnn_narrow,chromosome_cnn,0.5927505863309892,27,0.801300585269928,27105,0.6333333333333333,0.6435406698564593,0.6901913875598087,0.5278050826821826,0.5769230769230769,0.5,0.6818181818181818,0.6052631578947368,15,15,23,7
14,chromosome_cnn_wide,chromosome_cnn,0.5444488994715735,18,0.8624967336654663,60225,0.6,0.5406698564593302,0.5657894736842105,0.49707115733876767,0.3684210526315789,0.4375,0.3181818181818182,0.7631578947368421,7,9,29,15
15,chromosome_cnn_wide,chromosome_cnn,0.5191202304746588,28,0.7189041376113892,60225,0.6666666666666666,0.6889952153110048,0.7870813397129187,0.699847570622927,0.6296296296296297,0.53125,0.7727272727272727,0.6052631578947368,17,15,23,5
