experiment,input_key,model_type,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold,best_epoch,best_val_loss,n_parameters
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.7049180327868853,0.6998834498834499,0.8076923076923076,0.7184857378889842,0.625,0.5769230769230769,0.6818181818181818,0.717948717948718,15,11,28,7,1,19,0.7056951522827148,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.5666666666666667,0.5813397129186603,0.6578947368421053,0.55107008974111,0.5185185185185185,0.4375,0.6363636363636364,0.5263157894736842,14,18,20,8,2,13,0.8574674725532532,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.5333333333333333,0.5358851674641147,0.6232057416267942,0.4732770418323319,0.46153846153846156,0.4,0.5454545454545454,0.5263157894736842,12,18,20,10,3,8,0.8454359173774719,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.6333333333333333,0.5765550239234449,0.5299043062200957,0.455468410724805,0.42105263157894735,0.5,0.36363636363636365,0.7894736842105263,8,8,30,14,4,6,0.8569869995117188,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.6833333333333333,0.6255980861244019,0.6901913875598087,0.6306534974153213,0.4864864864864865,0.6,0.4090909090909091,0.8421052631578947,9,6,32,13,5,10,0.74638432264328,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.7704918032786885,0.7412587412587412,0.7342657342657342,0.6938557245598167,0.6666666666666666,0.7,0.6363636363636364,0.8461538461538461,14,6,33,8,6,11,0.8115876913070679,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.6833333333333333,0.6543062200956937,0.7344497607655502,0.6348162124927936,0.5581395348837209,0.5714285714285714,0.5454545454545454,0.7631578947368421,12,9,29,10,7,12,0.792053759098053,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.5833333333333334,0.6327751196172249,0.6698564593301436,0.4985537870615485,0.5901639344262295,0.46153846153846156,0.8181818181818182,0.4473684210526316,18,21,17,4,8,13,0.6965375542640686,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.6166666666666667,0.6016746411483254,0.687799043062201,0.598529081488786,0.5106382978723404,0.48,0.5454545454545454,0.6578947368421053,12,13,25,10,9,16,0.697365403175354,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.6833333333333333,0.7117224880382775,0.7906698564593302,0.7012260790089015,0.6545454545454545,0.5454545454545454,0.8181818181818182,0.6052631578947368,18,15,23,4,10,14,0.8044967651367188,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.639344262295082,0.6585081585081585,0.6573426573426573,0.5431476532145018,0.5925925925925926,0.5,0.7272727272727273,0.5897435897435898,16,16,23,6,11,32,0.7033097743988037,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.65,0.6375598086124402,0.7177033492822966,0.5656316509633149,0.5531914893617021,0.52,0.5909090909090909,0.6842105263157895,13,12,26,9,12,14,0.8261525630950928,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.65,0.6375598086124402,0.680622009569378,0.5273276449182344,0.5531914893617021,0.52,0.5909090909090909,0.6842105263157895,13,12,26,9,13,6,0.779357373714447,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.6833333333333333,0.6447368421052632,0.7523923444976077,0.6111621048615717,0.5365853658536586,0.5789473684210527,0.5,0.7894736842105263,11,8,30,11,14,9,0.8084755539894104,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.7333333333333333,0.6842105263157895,0.7906698564593301,0.7280344315481917,0.5789473684210527,0.6875,0.5,0.868421052631579,11,5,33,11,15,7,0.8461735844612122,97121
