experiment,input_key,model_type,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold,best_epoch,best_val_loss,n_parameters
mlp_t1_only,t1_only,mlp,0.7868852459016393,0.763986013986014,0.8601398601398601,0.8044203193999451,0.6976744186046512,0.7142857142857143,0.6818181818181818,0.8461538461538461,15,6,33,7,1,4,0.6253365278244019,528769
mlp_t1_only,t1_only,mlp,0.7166666666666667,0.680622009569378,0.7523923444976076,0.6520876342552817,0.5853658536585366,0.631578947368421,0.5454545454545454,0.8157894736842105,12,7,31,10,2,4,0.549644410610199,528769
mlp_t1_only,t1_only,mlp,0.8166666666666667,0.7978468899521531,0.9066985645933014,0.8872561222748632,0.7441860465116279,0.7619047619047619,0.7272727272727273,0.868421052631579,16,5,33,6,3,4,0.7077013850212097,528769
mlp_t1_only,t1_only,mlp,0.8,0.784688995215311,0.8110047846889952,0.7920991888035911,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8421052631578947,16,6,32,6,4,3,0.6855087280273438,528769
mlp_t1_only,t1_only,mlp,0.6666666666666666,0.6124401913875598,0.75,0.6233281843635936,0.47368421052631576,0.5625,0.4090909090909091,0.8157894736842105,9,7,31,13,5,4,0.6874280571937561,528769
mlp_t1_only,t1_only,mlp,0.8524590163934426,0.8449883449883451,0.8694638694638696,0.8631242709575164,0.8,0.782608695652174,0.8181818181818182,0.8717948717948718,18,5,34,4,6,5,0.5012086629867554,528769
mlp_t1_only,t1_only,mlp,0.7166666666666667,0.6901913875598087,0.7667464114832535,0.7290819193895777,0.6046511627906976,0.6190476190476191,0.5909090909090909,0.7894736842105263,13,8,30,9,7,4,0.6566194891929626,528769
mlp_t1_only,t1_only,mlp,0.85,0.8145933014354066,0.8744019138755982,0.8556570507824772,0.7692307692307693,0.8823529411764706,0.6818181818181818,0.9473684210526315,15,2,36,7,8,6,0.5409159064292908,528769
mlp_t1_only,t1_only,mlp,0.8333333333333334,0.8205741626794258,0.8755980861244019,0.8442713836500975,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.868421052631579,17,5,33,5,9,21,0.4265027642250061,528769
mlp_t1_only,t1_only,mlp,0.7333333333333333,0.7320574162679425,0.8349282296650719,0.7967271817606041,0.6666666666666666,0.6153846153846154,0.7272727272727273,0.7368421052631579,16,10,28,6,10,5,0.7581808567047119,528769
mlp_t1_only,t1_only,mlp,0.7868852459016393,0.7441724941724942,0.7587412587412588,0.6682076019642863,0.6666666666666666,0.7647058823529411,0.5909090909090909,0.8974358974358975,13,4,35,9,11,4,0.6234663724899292,528769
mlp_t1_only,t1_only,mlp,0.6666666666666666,0.7177033492822966,0.7966507177033493,0.7006828565688253,0.6666666666666666,0.5263157894736842,0.9090909090909091,0.5263157894736842,20,18,20,2,12,3,0.6207822561264038,528769
mlp_t1_only,t1_only,mlp,0.85,0.8720095693779905,0.9330143540669857,0.905826477162684,0.8235294117647058,0.7241379310344828,0.9545454545454546,0.7894736842105263,21,8,30,1,13,9,0.5976849794387817,528769
mlp_t1_only,t1_only,mlp,0.7833333333333333,0.7523923444976077,0.8026315789473685,0.7957045929195115,0.6829268292682927,0.7368421052631579,0.6363636363636364,0.868421052631579,14,5,33,8,14,6,0.4923822581768036,528769
mlp_t1_only,t1_only,mlp,0.8,0.7559808612440191,0.84688995215311,0.8115476003617157,0.6842105263157895,0.8125,0.5909090909090909,0.9210526315789473,13,3,35,9,15,3,0.6416662931442261,528769
