experiment,input_key,model_type,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold,best_epoch,best_val_loss,n_parameters
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.8360655737704918,0.8222610722610723,0.8846153846153847,0.8226334539493888,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.8717948717948718,17,5,34,5,1,11,0.5724170207977295,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.7,0.6961722488038278,0.7834928229665072,0.7060063373810601,0.625,0.5769230769230769,0.6818181818181818,0.7105263157894737,15,11,27,7,2,11,0.6099435687065125,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.7833333333333333,0.8002392344497608,0.868421052631579,0.8304578310594353,0.7450980392156863,0.6551724137931034,0.8636363636363636,0.7368421052631579,19,10,28,3,3,6,0.8400437831878662,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.8,0.7751196172248804,0.8253588516746412,0.8203308228709296,0.7142857142857143,0.75,0.6818181818181818,0.868421052631579,15,5,33,7,4,8,0.6796432733535767,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.7,0.6387559808612441,0.7918660287081339,0.7122792969930742,0.5,0.6428571428571429,0.4090909090909091,0.868421052631579,9,5,33,13,5,9,0.6802132725715637,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.819672131147541,0.7896270396270396,0.8519813519813519,0.8499440640413056,0.7317073170731707,0.7894736842105263,0.6818181818181818,0.8974358974358975,15,4,35,7,6,10,0.5712320804595947,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.75,0.6973684210526316,0.7751196172248803,0.7413768065873987,0.5945945945945946,0.7333333333333333,0.5,0.8947368421052632,11,4,34,11,7,11,0.6381515264511108,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.7833333333333333,0.7523923444976077,0.8397129186602871,0.8210236029569229,0.6829268292682927,0.7368421052631579,0.6363636363636364,0.868421052631579,14,5,33,8,8,10,0.6310040354728699,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.85,0.8145933014354066,0.8779904306220097,0.8373831328562547,0.7692307692307693,0.8823529411764706,0.6818181818181818,0.9473684210526315,15,2,36,7,9,21,0.4959286153316498,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.75,0.7356459330143541,0.8145933014354068,0.7341867426683572,0.6666666666666666,0.6521739130434783,0.6818181818181818,0.7894736842105263,15,8,30,7,10,9,0.7469382882118225,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.7540983606557377,0.6987179487179487,0.7004662004662005,0.6037505185752956,0.5945945945945946,0.7333333333333333,0.5,0.8974358974358975,11,4,35,11,11,8,0.7646985054016113,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.7666666666666667,0.7488038277511961,0.7930622009569379,0.722747909423962,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.8157894736842105,15,7,31,7,12,9,0.7046862840652466,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.8833333333333333,0.888755980861244,0.9581339712918661,0.9455720021055773,0.851063829787234,0.8,0.9090909090909091,0.868421052631579,20,5,33,2,13,11,0.593361496925354,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.7166666666666667,0.6710526315789473,0.7523923444976077,0.7323232046576624,0.5641025641025641,0.6470588235294118,0.5,0.8421052631578947,11,6,32,11,14,10,0.5365611910820007,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.7666666666666667,0.7392344497607655,0.8480861244019138,0.8034428529223174,0.6666666666666666,0.7,0.6363636363636364,0.8421052631578947,14,6,32,8,15,10,0.6626792550086975,260289
