experiment,input_key,model_type,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold,best_epoch,best_val_loss,n_parameters
bottleneck_mlp_t1_only_wide,t1_only,bottleneck_mlp,0.7704918032786885,0.7511655011655012,0.8636363636363636,0.7938068036345409,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.8205128205128205,15,7,32,7,1,11,0.5065882205963135,129121
bottleneck_mlp_t1_only_wide,t1_only,bottleneck_mlp,0.7,0.6866028708133971,0.764354066985646,0.7005702408048037,0.6086956521739131,0.5833333333333334,0.6363636363636364,0.7368421052631579,14,10,28,8,2,5,0.6860679984092712,129121
bottleneck_mlp_t1_only_wide,t1_only,bottleneck_mlp,0.8333333333333334,0.8397129186602871,0.9066985645933014,0.8818900137598,0.7916666666666666,0.7307692307692307,0.8636363636363636,0.8157894736842105,19,7,31,3,3,7,0.8034230470657349,129121
bottleneck_mlp_t1_only_wide,t1_only,bottleneck_mlp,0.8333333333333334,0.8110047846889952,0.8337320574162679,0.8308900366898999,0.7619047619047619,0.8,0.7272727272727273,0.8947368421052632,16,4,34,6,4,5,0.7214595079421997,129121
bottleneck_mlp_t1_only_wide,t1_only,bottleneck_mlp,0.75,0.687799043062201,0.7595693779904306,0.6730345790473212,0.5714285714285714,0.7692307692307693,0.45454545454545453,0.9210526315789473,10,3,35,12,5,9,0.693569004535675,129121
bottleneck_mlp_t1_only_wide,t1_only,bottleneck_mlp,0.7868852459016393,0.7738927738927739,0.8624708624708625,0.8359720192875271,0.7111111111111111,0.6956521739130435,0.7272727272727273,0.8205128205128205,16,7,32,6,6,15,0.4687361717224121,129121
bottleneck_mlp_t1_only_wide,t1_only,bottleneck_mlp,0.7333333333333333,0.7033492822966507,0.7811004784688996,0.765468685923766,0.6190476190476191,0.65,0.5909090909090909,0.8157894736842105,13,7,31,9,7,9,0.5362910628318787,129121
bottleneck_mlp_t1_only_wide,t1_only,bottleneck_mlp,0.7666666666666667,0.7679425837320575,0.8313397129186603,0.8359564306390324,0.7083333333333334,0.6538461538461539,0.7727272727272727,0.7631578947368421,17,9,29,5,8,6,0.5722379088401794,129121
bottleneck_mlp_t1_only_wide,t1_only,bottleneck_mlp,0.7666666666666667,0.7392344497607655,0.8720095693779905,0.8185974594109482,0.6666666666666666,0.7,0.6363636363636364,0.8421052631578947,14,6,32,8,9,16,0.4231850802898407,129121
bottleneck_mlp_t1_only_wide,t1_only,bottleneck_mlp,0.7166666666666667,0.6997607655502392,0.8145933014354068,0.7752820262297093,0.6222222222222222,0.6086956521739131,0.6363636363636364,0.7631578947368421,14,9,29,8,10,8,0.70607990026474,129121
bottleneck_mlp_t1_only_wide,t1_only,bottleneck_mlp,0.7868852459016393,0.754079254079254,0.7855477855477856,0.7197047686018273,0.6829268292682927,0.7368421052631579,0.6363636363636364,0.8717948717948718,14,5,34,8,11,10,0.6372784376144409,129121
bottleneck_mlp_t1_only_wide,t1_only,bottleneck_mlp,0.7666666666666667,0.7583732057416268,0.8110047846889952,0.7673806350123855,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.7894736842105263,16,8,30,6,12,9,0.6342339515686035,129121
bottleneck_mlp_t1_only_wide,t1_only,bottleneck_mlp,0.85,0.8624401913875598,0.965311004784689,0.9463135631111013,0.8163265306122449,0.7407407407407407,0.9090909090909091,0.8157894736842105,20,7,31,2,13,10,0.6418835520744324,129121
bottleneck_mlp_t1_only_wide,t1_only,bottleneck_mlp,0.7,0.6674641148325359,0.7978468899521531,0.7840369062985695,0.5714285714285714,0.6,0.5454545454545454,0.7894736842105263,12,8,30,10,14,11,0.5214178562164307,129121
bottleneck_mlp_t1_only_wide,t1_only,bottleneck_mlp,0.7333333333333333,0.722488038277512,0.8385167464114832,0.7971651669939577,0.6521739130434783,0.625,0.6818181818181818,0.7631578947368421,15,9,29,7,15,8,0.5887907147407532,129121
