experiment,input_key,model_type,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold,best_epoch,best_val_loss,n_parameters
mlp_t1_only_narrow,t1_only,mlp,0.819672131147541,0.8193473193473193,0.8741258741258741,0.823117341590333,0.7659574468085106,0.72,0.8181818181818182,0.8205128205128205,18,7,32,4,1,9,0.5917941927909851,528769
mlp_t1_only_narrow,t1_only,mlp,0.6833333333333333,0.6925837320574163,0.7679425837320575,0.6866907191826472,0.6274509803921569,0.5517241379310345,0.7272727272727273,0.6578947368421053,16,13,25,6,2,6,0.6038870215415955,528769
mlp_t1_only_narrow,t1_only,mlp,0.8,0.8038277511961722,0.895933014354067,0.8550453805990652,0.75,0.6923076923076923,0.8181818181818182,0.7894736842105263,18,8,30,4,3,6,0.8091530203819275,528769
mlp_t1_only_narrow,t1_only,mlp,0.8166666666666667,0.7978468899521531,0.8169856459330144,0.7692830712428715,0.7441860465116279,0.7619047619047619,0.7272727272727273,0.868421052631579,16,5,33,6,4,6,0.7274113893508911,528769
mlp_t1_only_narrow,t1_only,mlp,0.7666666666666667,0.7105263157894737,0.8062200956937801,0.7496900231653238,0.6111111111111112,0.7857142857142857,0.5,0.9210526315789473,11,3,35,11,5,6,0.6616838574409485,528769
mlp_t1_only_narrow,t1_only,mlp,0.8032786885245902,0.7768065268065267,0.8426573426573426,0.846000758231455,0.7142857142857143,0.75,0.6818181818181818,0.8717948717948718,15,5,34,7,6,14,0.49411505460739136,528769
mlp_t1_only_narrow,t1_only,mlp,0.7666666666666667,0.729665071770335,0.7834928229665071,0.7632139551836878,0.65,0.7222222222222222,0.5909090909090909,0.868421052631579,13,5,33,9,7,8,0.5780543684959412,528769
mlp_t1_only_narrow,t1_only,mlp,0.7666666666666667,0.7392344497607655,0.8313397129186604,0.799835498754363,0.6666666666666666,0.7,0.6363636363636364,0.8421052631578947,14,6,32,8,8,7,0.6521145701408386,528769
mlp_t1_only_narrow,t1_only,mlp,0.8333333333333334,0.8205741626794258,0.8779904306220095,0.8344405950165166,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.868421052631579,17,5,33,5,9,11,0.4426364004611969,528769
mlp_t1_only_narrow,t1_only,mlp,0.7666666666666667,0.7583732057416268,0.8480861244019139,0.7953882250819009,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.7894736842105263,16,8,30,6,10,8,0.7370036840438843,528769
mlp_t1_only_narrow,t1_only,mlp,0.819672131147541,0.7797202797202798,0.7668997668997668,0.6904981346860807,0.717948717948718,0.8235294117647058,0.6363636363636364,0.9230769230769231,14,3,36,8,11,8,0.7033051252365112,528769
mlp_t1_only_narrow,t1_only,mlp,0.7833333333333333,0.7619617224880382,0.7655502392344498,0.654669996566312,0.6976744186046512,0.7142857142857143,0.6818181818181818,0.8421052631578947,15,6,32,7,12,5,0.7298961281776428,528769
mlp_t1_only_narrow,t1_only,mlp,0.85,0.8624401913875598,0.9569377990430622,0.9422927453265224,0.8163265306122449,0.7407407407407407,0.9090909090909091,0.8157894736842105,20,7,31,2,13,12,0.6069344282150269,528769
mlp_t1_only_narrow,t1_only,mlp,0.7333333333333333,0.69377990430622,0.7679425837320574,0.732293728310222,0.6,0.6666666666666666,0.5454545454545454,0.8421052631578947,12,6,32,10,14,8,0.5609553456306458,528769
mlp_t1_only_narrow,t1_only,mlp,0.7833333333333333,0.7523923444976077,0.8289473684210527,0.7811488086601823,0.6829268292682927,0.7368421052631579,0.6363636363636364,0.868421052631579,14,5,33,8,15,7,0.6705134510993958,528769
