experiment,feature_set,model,n_samples,n_features,effective_n_features,n_cv_fits,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_sensitivity_mean,recall_sensitivity_std,specificity_mean,specificity_std,pooled_accuracy,pooled_balanced_accuracy,pooled_roc_auc,pooled_pr_auc,pooled_f1,pooled_precision,pooled_recall_sensitivity,pooled_specificity,pooled_tp,pooled_fp,pooled_tn,pooled_fn
logreg_l2_t0_t1,t0_t1,logreg_l2,301,4000,4000,15,0.8227868852459017,0.043446280513157715,0.8256267124688178,0.04202568652231165,0.9026233999918211,0.029411014451841966,0.8779714092513716,0.037677871604419336,0.7757068168434534,0.047991715047018435,0.7286562264895597,0.06400761064882697,0.8363636363636363,0.07248335720714714,0.8148897885739992,0.06715542844254525,0.82281284606866,0.8256861811835634,0.901232217462584,0.871842386439283,0.7752808988764045,0.7225130890052356,0.8363636363636363,0.8150087260034904,276,106,467,54
logreg_l2_t0_only,t0_only,logreg_l2,301,2000,2000,15,0.8063570127504555,0.05773793301679468,0.7985012063959434,0.06793868345975394,0.8831452173557438,0.040057666829039634,0.8566186014911871,0.05616454323362827,0.7405228511476342,0.09175793836244939,0.7215873375995421,0.07682399779636498,0.7696969696969697,0.12444287493622429,0.8273054430949169,0.05976815996639011,0.8062015503875969,0.798461050293511,0.8783489343698768,0.8479088315333408,0.7437774524158126,0.7195467422096318,0.7696969696969697,0.8272251308900523,254,99,474,76
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,301,6000,6000,15,0.7751183970856101,0.040989781822909306,0.7797039218091849,0.04367743932176013,0.868326994642784,0.03672016494736793,0.827728811829988,0.04352986982369077,0.7209467237396565,0.04951781951556833,0.6625173634318808,0.05276930095862056,0.7969696969696971,0.08215419219227856,0.762438146648673,0.058184983868491386,0.7751937984496124,0.7798112010153895,0.8675657094505261,0.8232807994321921,0.7215363511659808,0.6591478696741855,0.796969696969697,0.7626527050610821,263,136,437,67
logreg_l2_t1_only,t1_only,logreg_l2,301,2000,2000,15,0.7695992714025502,0.04728551992538832,0.767069480227375,0.052356637619372856,0.8528299186193923,0.04482042736961788,0.820244388086899,0.053884298062142455,0.7051432104962516,0.06181639366960017,0.6637589192416778,0.058278626943496586,0.7575757575757576,0.09357561178016141,0.7765632028789924,0.05712246445746969,0.769656699889258,0.767095034110741,0.8518800571156592,0.8135184936424618,0.7062146892655368,0.6613756613756614,0.7575757575757576,0.7766143106457243,250,128,445,80
logreg_elasticnet_C0.1_l1r0.1_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.1,301,2000,2000,15,0.7795810564663024,0.02942322796175256,0.7639389849916164,0.0356393554832783,0.8406943933259723,0.03247187769038032,0.7983246840965241,0.044323659498983155,0.6991783783891042,0.04801086233687666,0.6978768188516024,0.042952757250562024,0.7060606060606063,0.08033773651713974,0.8218173639226272,0.04289811239862462,0.7796234772978959,0.7640250674282087,0.8415146226664552,0.7924442179696465,0.7007518796992481,0.6955223880597015,0.706060606060606,0.8219895287958116,233,102,471,97
logreg_elasticnet_C1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C1_l1r0.5,301,2000,2000,15,0.7751548269581058,0.04090474675101355,0.7643254406412301,0.04527158089241618,0.8404469799206642,0.03329503655571157,0.7989178400125871,0.04513349711824737,0.7006863117670635,0.057948382591711575,0.6835467426786581,0.05389613761908079,0.7242424242424242,0.0849797994377217,0.804408457040036,0.05286086174026467,0.7751937984496124,0.7643899730287165,0.8400391348035328,0.791589987047677,0.7019089574155654,0.6809116809116809,0.7242424242424242,0.8045375218150087,239,112,461,91
logreg_l2_t0_delta,t0_delta,logreg_l2,301,4000,4000,15,0.7507650273224045,0.052195518791467915,0.7463930806036071,0.053328353045118466,0.8224164724164724,0.04712740089656744,0.7672634912339042,0.04675413096105818,0.6815476230329247,0.062754530200389,0.6446769689702433,0.07295208726115508,0.7303030303030303,0.08669905246624027,0.7624831309041836,0.06960447905479536,0.7508305647840532,0.7464778676820563,0.8209529853508912,0.759597171421472,0.6817538896746818,0.6392572944297082,0.7303030303030303,0.7626527050610821,241,136,437,89
pca20_logreg_t0_only,t0_only,pca20_logreg,301,2000,20,15,0.7442622950819673,0.0508012020190777,0.7316505132294606,0.062174245221381784,0.820925857767963,0.052488746043756265,0.7741710862408541,0.06641046420417673,0.6578201910448076,0.08690884212287874,0.6406781460216906,0.07056143055789209,0.6848484848484849,0.12562320051830086,0.7784525416104363,0.057817832043065856,0.7441860465116279,0.7316039980961446,0.8143582421069332,0.765173247902258,0.6617862371888726,0.6402266288951841,0.6848484848484848,0.7783595113438045,226,127,446,104
logreg_elasticnet_C0.1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C0.1_l1r0.5,301,2000,2000,15,0.7497267759562841,0.042091960622559224,0.7250337381916331,0.046390955345074085,0.7868421052631579,0.0387112766600729,0.7103533099903073,0.054214858130300095,0.6475328825200725,0.06415737473801766,0.6703612926652143,0.07027433054929924,0.6333333333333333,0.08838486909314487,0.8167341430499326,0.05699589369054297,0.7497231450719822,0.725043630017452,0.7862763763287323,0.6880268310658799,0.6490683229813664,0.6656050955414012,0.6333333333333333,0.8167539267015707,209,105,468,121
pca10_logreg_t0_only,t0_only,pca10_logreg,301,2000,10,15,0.7032786885245901,0.06532618168811907,0.6916288389972601,0.07533525561225277,0.7529710056025846,0.06074767227381087,0.6721782852463769,0.06100231750524339,0.6124092986169013,0.09470518899076143,0.5830305483288992,0.0793820831902244,0.6484848484848484,0.12204798380250208,0.7347728295096716,0.052675103403224295,0.7032115171650055,0.6916071711883229,0.7484266751282458,0.6582241133453676,0.6149425287356322,0.5846994535519126,0.6484848484848484,0.7347294938917975,214,152,421,116
