experiment,feature_set,model,n_samples,n_features,effective_n_features,n_cv_fits,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_sensitivity_mean,recall_sensitivity_std,specificity_mean,specificity_std,pooled_accuracy,pooled_balanced_accuracy,pooled_roc_auc,pooled_pr_auc,pooled_f1,pooled_precision,pooled_recall_sensitivity,pooled_specificity,pooled_tp,pooled_fp,pooled_tn,pooled_fn
linear_svc_t0_t1,t0_t1,linear_svc_l2,301,4000,4000,15,0.796302367941712,0.03359717357656192,0.7257003230687442,0.04699196976357016,0.9030834662413608,0.02972726019314534,0.8793165428317848,0.03661134902305603,0.6187359693906184,0.09102624620784397,0.9603391053391053,0.0523609656811287,0.46363636363636357,0.09748913904330554,0.9877642825011245,0.016801225848613384,0.7962347729789591,0.7257099793749009,0.9008355809402928,0.8710593243764174,0.6244897959183674,0.95625,0.4636363636363636,0.987783595113438,153,7,566,177
linear_svc_C0.1_t0_t1,t0_t1,linear_svc_l2_C0.1,301,4000,4000,15,0.796302367941712,0.03359717357656192,0.7257003230687442,0.04699196976357016,0.9030834662413608,0.029716944435288863,0.8792826973669051,0.036642218386657,0.6187359693906184,0.09102624620784397,0.9603391053391053,0.0523609656811287,0.46363636363636357,0.09748913904330554,0.9877642825011245,0.016801225848613384,0.7962347729789591,0.7257099793749009,0.9008567348881485,0.8710744957423903,0.6244897959183674,0.95625,0.4636363636363636,0.987783595113438,153,7,566,177
logreg_l2_t0_t1,t0_t1,logreg_l2,301,4000,4000,15,0.8227868852459017,0.043446280513157715,0.8256267124688178,0.04202568652231165,0.9026233999918211,0.029411014451841966,0.8779714092513716,0.037677871604419336,0.7757068168434534,0.047991715047018435,0.7286562264895597,0.06400761064882697,0.8363636363636363,0.07248335720714714,0.8148897885739992,0.06715542844254525,0.82281284606866,0.8256861811835634,0.901232217462584,0.871842386439283,0.7752808988764045,0.7225130890052356,0.8363636363636363,0.8150087260034904,276,106,467,54
ridge_t0_t1,t0_t1,ridge_classifier,301,4000,4000,15,0.7099453551912568,0.030300393346503928,0.6049666707561444,0.042027746146727475,0.8998998077945447,0.02835359632448028,0.8743615481217577,0.037636760751012646,0.3444194069021655,0.11348404040276312,0.9587301587301588,0.09501106727457558,0.21515151515151518,0.0832250378576479,0.9947818263607736,0.010803649202381081,0.7098560354374308,0.6049579565286372,0.8990956687291767,0.8696999619986818,0.35148514851485146,0.9594594594594594,0.21515151515151515,0.9947643979057592,71,3,570,259
ridge_alpha10_t0_only,t0_only,ridge_classifier_alpha10,301,2000,2000,15,0.7220582877959926,0.021800144816017563,0.6203349282296651,0.03130290607316502,0.8846644583486689,0.038661809570921704,0.8531239277728192,0.054121143581599605,0.3848532056526125,0.08399019334499734,0.9925925925925926,0.028688765527462353,0.24242424242424238,0.0657951694959769,0.9982456140350877,0.006794707624925285,0.7220376522702104,0.6203395208630811,0.8808662541646834,0.8457893877893513,0.38929440389294406,0.9876543209876543,0.24242424242424243,0.9982547993019197,80,1,572,250
ridge_t0_only,t0_only,ridge_classifier,301,2000,2000,15,0.7231693989071037,0.022816883639869265,0.6218500797448165,0.03265499120362172,0.8845867582709689,0.03866559589288916,0.8529437479723616,0.0541718181029205,0.3884656851271609,0.087112149904143,0.9925925925925926,0.028688765527462353,0.24545454545454543,0.06828995753316834,0.9982456140350877,0.006794707624925285,0.7231450719822813,0.6218546723782326,0.8808027923211167,0.8453693235935165,0.3932038834951456,0.9878048780487805,0.24545454545454545,0.9982547993019197,81,1,572,249
pls20_logreg_t0_only,t0_only,pls20_logreg,301,2000,20,15,0.790856102003643,0.04991662666059793,0.7959248353985197,0.05914884097906827,0.8833905860221649,0.037785142999189954,0.8557968959553037,0.053124756440995104,0.7375977341165271,0.07721296928998418,0.6784727660029853,0.0625508476563582,0.8151515151515151,0.11584434996974784,0.7766981556455241,0.059132496240312395,0.7906976744186046,0.7958829128986198,0.8799672113808239,0.8482467262494311,0.7400275103163686,0.6775818639798489,0.8151515151515152,0.7766143106457243,269,128,445,61
logreg_l2_t0_only,t0_only,logreg_l2,301,2000,2000,15,0.8063570127504555,0.05773793301679468,0.7985012063959434,0.06793868345975394,0.8831452173557438,0.040057666829039634,0.8566186014911871,0.05616454323362827,0.7405228511476342,0.09175793836244939,0.7215873375995421,0.07682399779636498,0.7696969696969697,0.12444287493622429,0.8273054430949169,0.05976815996639011,0.8062015503875969,0.798461050293511,0.8783489343698768,0.8479088315333408,0.7437774524158126,0.7195467422096318,0.7696969696969697,0.8272251308900523,254,99,474,76
pls10_logreg_t0_only,t0_only,pls10_logreg,301,2000,10,15,0.7919672131147543,0.04747822178241164,0.7974624790414263,0.05890635598961688,0.8830736514947043,0.03679041868001459,0.8550052760449901,0.051578774667459235,0.7388224414516702,0.07723931230365327,0.6783827039700419,0.05859597838010507,0.8181818181818181,0.11902794012872311,0.7767431399010346,0.05171203827917037,0.7918050941306756,0.7973980644137713,0.879697498545666,0.8478500096464334,0.7417582417582418,0.678391959798995,0.8181818181818182,0.7766143106457243,270,128,445,60
linear_svc_C0.1_t0_only,t0_only,linear_svc_l2_C0.1,301,2000,2000,15,0.777449908925319,0.022828254069338232,0.6986443381180223,0.034575280495066495,0.8812558786242997,0.039528662314797014,0.8557390076101925,0.05494155889412096,0.5670973135605407,0.07233918546272955,0.971033411033411,0.04266527721422233,0.40606060606060596,0.07772341196963431,0.9912280701754386,0.012840790433533318,0.7774086378737541,0.6986673012851023,0.8780686445607913,0.8478474606123072,0.5714285714285714,0.9640287769784173,0.40606060606060607,0.9912739965095986,134,5,568,196
linear_svc_t0_only,t0_only,linear_svc_l2,301,2000,2000,15,0.7785610200364299,0.024358538449745528,0.7001594896331739,0.03637079320633341,0.881174089068826,0.03950074270369603,0.8556950834878368,0.05496761407107376,0.5698750913383184,0.07545433945112665,0.971033411033411,0.04266527721422233,0.409090909090909,0.08058229640253803,0.9912280701754386,0.012840790433533318,0.778516057585825,0.7001824528002538,0.8781426833782853,0.8479689202213239,0.574468085106383,0.9642857142857143,0.4090909090909091,0.9912739965095986,135,5,568,195
pls5_logreg_t0_only,t0_only,pls5_logreg,301,2000,5,15,0.798488160291439,0.04457667129643945,0.8000163579110946,0.046306395051733375,0.8772829509671615,0.03951340397336276,0.8540070274266535,0.05564995851682631,0.7442122548539226,0.059591040933488215,0.6987572321536791,0.06352032380037528,0.806060606060606,0.09325965495763851,0.7939721097615835,0.07171825258452948,0.7984496124031008,0.8000634618435665,0.8743772806600031,0.8472618297554417,0.7450980392156863,0.6927083333333334,0.806060606060606,0.794066317626527,266,118,455,64
pls2_logreg_t1_only,t1_only,pls2_logreg,301,2000,2,15,0.7861748633879784,0.037065911954266284,0.7775180959391487,0.038706904003217184,0.8562098719993456,0.033916344216056424,0.8042170374661611,0.04926560688608557,0.718172085077267,0.04714365526276521,0.6949426322469799,0.051909859916738584,0.7454545454545455,0.059015936454554635,0.8095816464237516,0.043388641160367725,0.7862679955703211,0.7776138346818975,0.8563699825479929,0.8000415050183967,0.7182481751824817,0.6929577464788732,0.7454545454545455,0.8097731239092496,246,109,464,84
pls5_logreg_t1_only,t1_only,pls5_logreg,301,2000,5,15,0.760728597449909,0.054634705024807405,0.7620782726045884,0.06290511133314677,0.8546804073119864,0.047218780585347106,0.8294954499019137,0.052952469647602196,0.6994174206429822,0.07310452600827265,0.6447071332243747,0.05949549990585417,0.7666666666666665,0.09998032077123521,0.7574898785425102,0.04211799029569385,0.760797342192691,0.762041884816754,0.8571738325665028,0.8264813832964566,0.7008310249307479,0.6454081632653061,0.7666666666666667,0.7574171029668412,253,139,434,77
logreg_l2_t1_only,t1_only,logreg_l2,301,2000,2000,15,0.7695992714025502,0.04728551992538832,0.767069480227375,0.052356637619372856,0.8528299186193923,0.04482042736961788,0.820244388086899,0.053884298062142455,0.7051432104962516,0.06181639366960017,0.6637589192416778,0.058278626943496586,0.7575757575757576,0.09357561178016141,0.7765632028789924,0.05712246445746969,0.769656699889258,0.767095034110741,0.8518800571156592,0.8135184936424618,0.7062146892655368,0.6613756613756614,0.7575757575757576,0.7766143106457243,250,128,445,80
linear_svc_t1_only,t1_only,linear_svc_l2,301,2000,2000,15,0.7730418943533698,0.042081529281288436,0.6970944260417945,0.05371131165327064,0.8464912280701754,0.04621061011260186,0.8128182328373126,0.05456915554049432,0.5659379524591415,0.1065181945484904,0.924817404817405,0.0964140463347191,0.4151515151515151,0.10144566983162744,0.9790373369320737,0.028377313881635263,0.7729789590254706,0.697104553387276,0.8464382040298271,0.8056831071923126,0.5720250521920668,0.9194630872483222,0.41515151515151516,0.9790575916230366,137,12,561,193
linear_svc_C0.1_t1_only,t1_only,linear_svc_l2_C0.1,301,2000,2000,15,0.7719307832422586,0.040076677011667595,0.695579274526643,0.05099008947009574,0.8463296936981147,0.04606004117942971,0.8126854163419582,0.05458906761883516,0.5634729664647438,0.10248297898190703,0.924817404817405,0.0964140463347191,0.4121212121212121,0.09637262067078357,0.9790373369320737,0.028377313881635263,0.7718715393133998,0.6955894018721244,0.8465915701517795,0.8059851387731332,0.5690376569037657,0.918918918918919,0.4121212121212121,0.9790575916230366,136,12,561,194
pls10_logreg_t1_only,t1_only,pls10_logreg,301,2000,10,15,0.7473952641165755,0.05884989910862287,0.7547642416063469,0.05870410395137248,0.8361284913916492,0.04726631854792352,0.8054830359675615,0.05617085589777016,0.6939776204447933,0.06400846685144616,0.6287896248911655,0.07306091805837457,0.7818181818181817,0.08793847801158546,0.727710301394512,0.07813989378812268,0.7475083056478405,0.7547834364588292,0.8367391189380717,0.7944446840404862,0.6935483870967742,0.6231884057971014,0.7818181818181819,0.7277486910994765,258,156,417,72
sgd_hinge_t0_only,t0_only,sgd_hinge,301,2000,2000,15,0.7585428051001821,0.05258373667147513,0.7577045761256287,0.056306788266467414,0.8359833149306833,0.03951630044632499,0.8024748829370307,0.058591390420329764,0.6943066136484497,0.0671235394463641,0.6513362583278214,0.07409326419657708,0.7545454545454546,0.10838516303224063,0.760863697705803,0.07618507574197697,0.7585825027685493,0.7577264794542281,0.8346766090221588,0.7926534834549863,0.6955307262569832,0.6450777202072538,0.7545454545454545,0.7609075043630017,249,137,436,81
pls20_logreg_t1_only,t1_only,pls20_logreg,301,2000,20,15,0.7463205828779599,0.0567556652815341,0.7526111315584999,0.05664340312905486,0.8344681634155319,0.04839783378074739,0.8025298585461944,0.05791981571057773,0.6914332968065865,0.06296734513731576,0.627785959665031,0.07166491636170717,0.7757575757575758,0.0814324722720516,0.7294646873594243,0.07277332813803618,0.7464008859357697,0.7526257337775663,0.8354698820667407,0.7928460107240872,0.6909581646423751,0.6228710462287105,0.7757575757575758,0.7294938917975567,256,155,418,74
