experiment,feature_set,model,model_type,threshold_mode,k_best,pca_components,threshold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7868852459016393,0.7441724941724942,0.8053613053613053,0.7057104351210685,0.6666666666666666,0.7647058823529411,0.5909090909090909,0.8974358974358975,13,4,35,9,1
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.65,0.5992822966507177,0.6566985645933013,0.5681174195143995,0.46153846153846156,0.5294117647058824,0.4090909090909091,0.7894736842105263,9,8,30,13,2
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7,0.6387559808612441,0.6913875598086124,0.5403524293665526,0.5,0.6428571428571429,0.4090909090909091,0.868421052631579,9,5,33,13,3
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.6666666666666666,0.6124401913875598,0.569377990430622,0.45098741789754493,0.47368421052631576,0.5625,0.4090909090909091,0.8157894736842105,9,7,31,13,4
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.6833333333333333,0.6064593301435407,0.7212918660287081,0.6444863132369494,0.42424242424242425,0.6363636363636364,0.3181818181818182,0.8947368421052632,7,4,34,15,5
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7049180327868853,0.6800699300699301,0.7051282051282051,0.5460293830511823,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.7692307692307693,13,9,30,9,6
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7333333333333333,0.6842105263157895,0.6866028708133972,0.63310693873626,0.5789473684210527,0.6875,0.5,0.868421052631579,11,5,33,11,7
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.6833333333333333,0.6255980861244019,0.7392344497607656,0.6875164009030768,0.4864864864864865,0.6,0.4090909090909091,0.8421052631578947,9,6,32,13,8
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.6666666666666666,0.5933014354066986,0.7308612440191387,0.6257595883065598,0.4117647058823529,0.5833333333333334,0.3181818181818182,0.868421052631579,7,5,33,15,9
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.6833333333333333,0.6255980861244019,0.6866028708133971,0.5975197670036348,0.4864864864864865,0.6,0.4090909090909091,0.8421052631578947,9,6,32,13,10
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7213114754098361,0.6631701631701632,0.6678321678321678,0.6357932094180022,0.5405405405405406,0.6666666666666666,0.45454545454545453,0.8717948717948718,10,5,34,12,11
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.6666666666666666,0.6028708133971292,0.7069377990430622,0.6218150493870664,0.4444444444444444,0.5714285714285714,0.36363636363636365,0.8421052631578947,8,6,32,14,12
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7166666666666667,0.6614832535885168,0.6578947368421052,0.5666919863437311,0.5405405405405406,0.6666666666666666,0.45454545454545453,0.868421052631579,10,5,33,12,13
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.6833333333333333,0.6351674641148325,0.6842105263157896,0.5982659741022992,0.5128205128205128,0.5882352941176471,0.45454545454545453,0.8157894736842105,10,7,31,12,14
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.6666666666666666,0.6124401913875598,0.680622009569378,0.6332298998314906,0.47368421052631576,0.5625,0.4090909090909091,0.8157894736842105,9,7,31,13,15
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.4,0.6885245901639344,0.7266899766899767,0.8053613053613053,0.7057104351210685,0.6666666666666666,0.5428571428571428,0.8636363636363636,0.5897435897435898,19,16,23,3,1
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.35,0.5666666666666667,0.6100478468899522,0.6566985645933013,0.5681174195143995,0.5666666666666667,0.4473684210526316,0.7727272727272727,0.4473684210526316,17,21,17,5,2
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.4,0.6333333333333333,0.65311004784689,0.6913875598086124,0.5403524293665526,0.5925925925925926,0.5,0.7272727272727273,0.5789473684210527,16,16,22,6,3
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.1,0.4,0.5263157894736842,0.569377990430622,0.45098741789754493,0.55,0.3793103448275862,1.0,0.05263157894736842,22,36,2,0,4
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.3,0.5166666666666667,0.618421052631579,0.7212918660287081,0.6444863132369494,0.6027397260273972,0.43137254901960786,1.0,0.23684210526315788,22,29,9,0,5
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.45,0.6721311475409836,0.6742424242424242,0.7051282051282051,0.5460293830511823,0.6,0.5357142857142857,0.6818181818181818,0.6666666666666666,15,13,26,7,6
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.45,0.7,0.6770334928229665,0.6866028708133972,0.63310693873626,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.7631578947368421,13,9,29,9,7
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.4,0.6833333333333333,0.6830143540669856,0.7392344497607656,0.6875164009030768,0.6122448979591837,0.5555555555555556,0.6818181818181818,0.6842105263157895,15,12,26,7,8
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.3,0.6166666666666667,0.6686602870813397,0.7308612440191387,0.6257595883065598,0.6229508196721312,0.48717948717948717,0.8636363636363636,0.47368421052631576,19,20,18,3,9
