experiment,feature_set,model,model_type,threshold_mode,k_best,pca_components,n_samples,n_features,effective_n_features,n_cv_fits,threshold_mean,threshold_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_sensitivity_mean,recall_sensitivity_std,specificity_mean,specificity_std,pooled_threshold,pooled_accuracy,pooled_balanced_accuracy,pooled_roc_auc,pooled_pr_auc,pooled_f1,pooled_precision,pooled_recall_sensitivity,pooled_specificity,pooled_tp,pooled_fp,pooled_tn,pooled_fn
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,301,2000,2000,15,0.5,0.0,0.6942076502732241,0.03481439224158234,0.6390013495276654,0.0411413619190263,0.6926696110906635,0.050791745490999185,0.6036921474813213,0.06326800277426427,0.5061837433354461,0.06813507723640776,0.6168718699601051,0.060752819792099684,0.4333333333333333,0.0803377365171397,0.8446693657219971,0.037361970849589525,0.5,0.6943521594684385,0.6390052356020943,0.6889946586281664,0.5832597888914254,0.5088967971530249,0.6163793103448276,0.43333333333333335,0.8446771378708552,143,89,484,187
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,301,2000,2000,15,0.37500000000000006,0.09774237273860005,0.6277231329690347,0.08971417326392588,0.6525518341307814,0.049016376606129924,0.6926696110906635,0.050791745490999185,0.6036921474813213,0.06326800277426427,0.5955794928229795,0.028410673323724284,0.5139240608953709,0.06762982904017333,0.7454545454545455,0.14146309191956302,0.5596491228070176,0.21463972815812737,0.4,0.6334440753045404,0.6398461050293511,0.6889946586281664,0.5832597888914254,0.5695708712613784,0.4988610478359909,0.6636363636363637,0.6160558464223386,219,220,353,111
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,301,2000,2000,15,0.5,0.0,0.6964845173041895,0.04764124696371427,0.6522839733366049,0.0541165013435145,0.7490573753731649,0.05016728465923526,0.6504509014588085,0.0657996287352912,0.5371749462605535,0.08319292695594972,0.6078487362310891,0.08367067514509059,0.4878787878787879,0.09938813202335425,0.816689158794422,0.054374689773773056,0.5,0.6965669988925803,0.6523163572901792,0.7418583743191073,0.6218856728772424,0.540268456375839,0.6052631578947368,0.48787878787878786,0.8167539267015707,161,105,468,169
xgboost_raw_t1_only,t1_only,xgboost,raw,tuned_f1,,,301,2000,2000,15,0.365,0.061091266619238284,0.6544262295081966,0.07180916889353493,0.698071811229706,0.0486493126828011,0.7490573753731649,0.05016728465923526,0.6504509014588085,0.0657996287352912,0.6479865713696575,0.039414521806342875,0.5275522476471243,0.06612883637320853,0.8606060606060606,0.09003912744291137,0.5355375618533512,0.14839340939252924,0.4,0.6589147286821705,0.6804775503728384,0.7418583743191073,0.6218856728772424,0.6197530864197531,0.5229166666666667,0.7606060606060606,0.6003490401396161,251,229,344,79
xgboost_raw_delta_only,delta_only,xgboost,raw,default_0.5,,,301,2000,2000,15,0.5,0.0,0.6102185792349727,0.054814607385432305,0.5508240297713982,0.05467614130342002,0.5783462151883205,0.08693732787395428,0.46883573479597723,0.07360097004406611,0.38132678799823716,0.08192032314364693,0.4606494585765012,0.10704772749096561,0.33030303030303027,0.07959954870644666,0.7713450292397662,0.07106463948691824,0.5,0.6101882613510521,0.5508408694272569,0.5735469882066742,0.4367966234231957,0.3824561403508772,0.45416666666666666,0.3303030303030303,0.7713787085514834,109,131,442,221
xgboost_raw_delta_only,delta_only,xgboost,raw,tuned_f1,,,301,2000,2000,15,0.26166666666666666,0.07432233529572066,0.47409836065573774,0.08625088163136015,0.5753977017134911,0.053837984486933194,0.5783462151883205,0.08693732787395428,0.46883573479597723,0.07360097004406611,0.5722704364545221,0.03038036900521037,0.41554639202628924,0.06211504732685806,0.9515151515151516,0.07959954870644666,0.19928025191183088,0.17693241224556036,0.275,0.43964562569213733,0.5398302395684594,0.5735469882066742,0.4367966234231957,0.5433212996389891,0.38688946015424164,0.9121212121212121,0.16753926701570682,301,477,96,29
xgboost_raw_t0_t1,t0_t1,xgboost,raw,default_0.5,,,301,4000,4000,15,0.5,0.0,0.7030783242258652,0.052062570032775715,0.649186193923036,0.05301660592031836,0.7382509303561935,0.05081448589869895,0.6508884493356146,0.057167262228921635,0.5242020225135131,0.0783384214696122,0.6422907209749315,0.11577470317364559,0.4484848484848484,0.0784792489937874,0.8498875393612235,0.06322281802859755,0.5,0.7032115171650055,0.6491987942249722,0.7361256544502617,0.6200027150768795,0.524822695035461,0.6324786324786325,0.4484848484848485,0.849912739965096,148,86,487,182
xgboost_raw_t0_t1,t0_t1,xgboost,raw,tuned_f1,,,301,4000,4000,15,0.40166666666666667,0.06973589633822196,0.6776684881602915,0.08306713646540986,0.6912975912975913,0.0480701059354356,0.7382509303561935,0.05081448589869895,0.6508884493356146,0.057167262228921635,0.6279540202906327,0.044654280593765104,0.5865441277716278,0.13747549499093434,0.7424242424242424,0.15993898876113566,0.6401709401709401,0.20675263208912087,0.35,0.6046511627906976,0.6582817705854355,0.7361256544502617,0.6200027150768795,0.6132177681473456,0.4772344013490725,0.8575757575757575,0.45898778359511344,283,310,263,47
xgboost_raw_t0_delta,t0_delta,xgboost,raw,default_0.5,,,301,4000,4000,15,0.5,0.0,0.6642987249544627,0.0410627217986577,0.5993456835562098,0.047246674447833314,0.6665235349445876,0.054360110818869635,0.5638580539980643,0.07693703160909268,0.4330898345607938,0.08796122587019269,0.5678228871804724,0.09275022868116153,0.3575757575757575,0.09389050536260406,0.8411156095366622,0.050274509415509455,0.5,0.6644518272425249,0.5993812470252261,0.6627796287482152,0.5464377526949491,0.437847866419295,0.5645933014354066,0.3575757575757576,0.8411867364746946,118,91,482,212
xgboost_raw_t0_delta,t0_delta,xgboost,raw,tuned_f1,,,301,4000,4000,15,0.3183333333333333,0.0942388050696335,0.5634061930783243,0.09371388209743212,0.6242730953257271,0.05656534110260336,0.6665235349445876,0.054360110818869635,0.5638580539980643,0.07693703160909268,0.5899424360695369,0.03144722831842483,0.46218533463158773,0.06059817168738133,0.8515151515151516,0.12325124638852251,0.3970310391363023,0.2083194180597876,0.3,0.49723145071982283,0.5768522925590989,0.6627796287482152,0.5464377526949491,0.5592233009708738,0.4114285714285714,0.8727272727272727,0.28097731239092494,288,412,161,42
xgboost_raw_t0_t1_delta,t0_t1_delta,xgboost,raw,default_0.5,,,301,6000,6000,15,0.5,0.0,0.6865209471766849,0.04364317078864271,0.62841778104936,0.043386512742586106,0.7137120189751769,0.05174579625125056,0.6202990616066356,0.07116610368054843,0.4890211448106186,0.06585476197347712,0.6179750750338985,0.11553892224864815,0.41212121212121205,0.07382824660023116,0.8447143499775078,0.06277369400855558,0.5,0.6866002214839424,0.6283991749960336,0.7133745835316516,0.5895141728020667,0.4900900900900901,0.6044444444444445,0.4121212121212121,0.8446771378708552,136,89,484,194
