cpg_id,original_index,CHR,MAPINFO,chr_order,genome_rank
cg08067365,0,1,948893.0,1.0,0
cg21288685,1,1,1109244.0,1.0,1
cg13897675,3,1,1374310.0,1.0,2
cg19639479,4,1,1374669.0,1.0,3
cg03116557,5,1,1375480.0,1.0,4
cg22865286,6,1,1850733.0,1.0,5
cg00653281,7,1,1991051.0,1.0,6
cg11155073,8,1,2147513.0,1.0,7
cg08471814,10,1,2446073.0,1.0,8
cg12050271,11,1,2980399.0,1.0,9
cg24667304,12,1,3550008.0,1.0,10
cg18564053,13,1,6303793.0,1.0,11
cg11135412,14,1,6637055.0,1.0,12
cg26360953,15,1,6784749.0,1.0,13
cg14164492,17,1,9439003.0,1.0,14
cg04162034,18,1,9710821.0,1.0,15
cg13457410,19,1,9762510.0,1.0,16
cg20413202,20,1,10056853.0,1.0,17
cg17944110,21,1,10856657.0,1.0,18
cg13686807,23,1,14343114.0,1.0,19
cg18219212,24,1,16162653.0,1.0,20
cg21601498,25,1,16678847.0,1.0,21
cg03772253,28,1,18884374.0,1.0,22
cg24517325,29,1,18884428.0,1.0,23
cg18560776,30,1,18884508.0,1.0,24
cg11806635,31,1,19181040.0,1.0,25
cg01961278,33,1,20986128.0,1.0,26
cg18438124,34,1,21996315.0,1.0,27
cg20335309,35,1,22899442.0,1.0,28
cg12717729,37,1,24071253.0,1.0,29
cg07291005,39,1,24126194.0,1.0,30
cg22857999,40,1,24127039.0,1.0,31
cg26352811,41,1,24306777.0,1.0,32
cg00117172,42,1,25255838.0,1.0,33
cg24991732,43,1,25594486.0,1.0,34
cg17739026,47,1,27114420.0,1.0,35
cg04354805,48,1,27152792.0,1.0,36
cg14887509,49,1,27816781.0,1.0,37
cg20227766,50,1,27998703.0,1.0,38
cg02772605,51,1,28912323.0,1.0,39
cg10312476,52,1,29780268.0,1.0,40
cg24996263,53,1,31297444.0,1.0,41
cg26876680,54,1,31409638.0,1.0,42
cg12206571,55,1,32052538.0,1.0,43
cg17945560,56,1,32052651.0,1.0,44
cg17339202,57,1,33160900.0,1.0,45
cg25745861,58,1,33369735.0,1.0,46
cg19165942,59,1,35222920.0,1.0,47
cg24940583,60,1,36020939.0,1.0,48
cg21679142,64,1,37723205.0,1.0,49
cg06626655,65,1,38099916.0,1.0,50
cg24088273,67,1,38592976.0,1.0,51
cg21848143,68,1,39269995.0,1.0,52
cg17514654,70,1,40368198.0,1.0,53
cg14498674,71,1,41707653.0,1.0,54
cg00367463,74,1,45249899.0,1.0,55
cg15896098,76,1,45966115.0,1.0,56
cg06687305,77,1,46088486.0,1.0,57
cg03335125,78,1,46088541.0,1.0,58
cg14220678,79,1,46089024.0,1.0,59
cg14407667,83,1,51985209.0,1.0,60
cg03947026,84,1,52832320.0,1.0,61
cg09128567,86,1,53387203.0,1.0,62
cg13168314,87,1,54051041.0,1.0,63
cg07173275,91,1,57890636.0,1.0,64
cg22525715,92,1,58190139.0,1.0,65
cg26254792,93,1,60280088.0,1.0,66
cg19368394,95,1,61843430.0,1.0,67
cg03705947,98,1,68152081.0,1.0,68
cg14178428,99,1,68849791.0,1.0,69
cg03220161,100,1,70671186.0,1.0,70
cg21906852,101,1,75198582.0,1.0,71
cg00121533,103,1,75199117.0,1.0,72
cg20707222,106,1,76540222.0,1.0,73
cg26363196,107,1,76540236.0,1.0,74
cg23243867,108,1,77334045.0,1.0,75
cg23441167,110,1,84971866.0,1.0,76
cg22618350,113,1,91487603.0,1.0,77
cg21584883,114,1,93645960.0,1.0,78
cg03142574,115,1,98386452.0,1.0,79
cg18194353,116,1,100315666.0,1.0,80
cg04365817,117,1,101491640.0,1.0,81
cg09183742,118,1,103572723.0,1.0,82
cg04574896,122,1,109247738.0,1.0,83
cg09152047,123,1,110282835.0,1.0,84
cg05622465,124,1,110613072.0,1.0,85
cg04892651,125,1,111006966.0,1.0,86
cg00321911,126,1,111669324.0,1.0,87
cg06125456,127,1,111750610.0,1.0,88
cg22957381,128,1,112532078.0,1.0,89
cg06802056,130,1,113933940.0,1.0,90
cg06644660,132,1,117317838.0,1.0,91
cg08846011,133,1,117318133.0,1.0,92
cg24635754,134,1,117318185.0,1.0,93
cg09313258,135,1,117318232.0,1.0,94
cg17868079,137,1,119502537.0,1.0,95
cg26022992,139,1,145507616.0,1.0,96
cg15978276,140,1,145575814.0,1.0,97
cg05959459,141,1,147752860.0,1.0,98
cg15642292,142,1,150253842.0,1.0,99
cg04546999,144,1,152956429.0,1.0,100
cg18163252,145,1,153748120.0,1.0,101
cg00006626,146,1,154127462.0,1.0,102
cg17167920,147,1,154127537.0,1.0,103
