cpg_id,original_index,CHR,MAPINFO,chr_order,genome_rank,chromosome_label,chromosome_block,within_chromosome_rank
cg12663811,1,1,901685.0,1.0,0,1,1,1
cg05528516,2,1,1070040.0,1.0,1,1,1,2
cg08641866,3,1,1141790.0,1.0,2,1,1,3
cg13897675,4,1,1374310.0,1.0,3,1,1,4
cg12909536,5,1,1408104.0,1.0,4,1,1,5
cg07835437,6,1,1470836.0,1.0,5,1,1,6
cg15825127,7,1,1957073.0,1.0,6,1,1,7
cg26610624,8,1,1981268.0,1.0,7,1,1,8
cg21137823,9,1,1981270.0,1.0,8,1,1,9
cg20103201,10,1,2458021.0,1.0,9,1,1,10
cg22949832,11,1,3047342.0,1.0,10,1,1,11
cg12133393,12,1,3816695.0,1.0,11,1,1,12
cg04292104,13,1,4816720.0,1.0,12,1,1,13
cg06954199,14,1,5893907.0,1.0,13,1,1,14
cg02460223,15,1,8398664.0,1.0,14,1,1,15
cg14164492,16,1,9439003.0,1.0,15,1,1,16
cg02504229,17,1,9555380.0,1.0,16,1,1,17
cg04162034,18,1,9710821.0,1.0,17,1,1,18
cg20994801,19,1,9711398.0,1.0,18,1,1,19
cg17243540,21,1,12018611.0,1.0,19,1,1,20
cg20463261,22,1,12073445.0,1.0,20,1,1,21
cg04145937,24,1,14504113.0,1.0,21,1,1,22
cg06536159,26,1,15631449.0,1.0,22,1,1,23
cg18219212,28,1,16162653.0,1.0,23,1,1,24
cg02287573,29,1,16544088.0,1.0,24,1,1,25
cg09821328,31,1,18152144.0,1.0,25,1,1,26
cg15673188,32,1,18689063.0,1.0,26,1,1,27
cg03517918,33,1,19946398.0,1.0,27,1,1,28
cg12271781,34,1,20126180.0,1.0,28,1,1,29
cg17975245,35,1,20959890.0,1.0,29,1,1,30
cg11953164,38,1,23521307.0,1.0,30,1,1,31
cg24792360,39,1,24195143.0,1.0,31,1,1,32
cg08757148,40,1,24513722.0,1.0,32,1,1,33
cg11329235,42,1,24969260.0,1.0,33,1,1,34
cg21268256,43,1,25509521.0,1.0,34,1,1,35
cg21826606,44,1,25593055.0,1.0,35,1,1,36
cg24991732,45,1,25594486.0,1.0,36,1,1,37
cg10649647,49,1,27719310.0,1.0,37,1,1,38
cg19869139,50,1,29138077.0,1.0,38,1,1,39
cg03459646,51,1,29557674.0,1.0,39,1,1,40
cg21682382,54,1,32538052.0,1.0,40,1,1,41
cg22350438,55,1,33150185.0,1.0,41,1,1,42
cg17434472,56,1,35496883.0,1.0,42,1,1,43
cg22690046,57,1,36863663.0,1.0,43,1,1,44
cg15601529,59,1,38223969.0,1.0,44,1,1,45
cg01921777,62,1,40839564.0,1.0,45,1,1,46
cg14498674,63,1,41707653.0,1.0,46,1,1,47
cg25047378,64,1,44412582.0,1.0,47,1,1,48
cg08947153,67,1,46664340.0,1.0,48,1,1,49
cg16634661,68,1,46954794.0,1.0,49,1,1,50
cg23219046,72,1,54142810.0,1.0,50,1,1,51
cg20569588,75,1,55267285.0,1.0,51,1,1,52
cg26196860,77,1,59745563.0,1.0,52,1,1,53
cg01051545,79,1,61508955.0,1.0,53,1,1,54
cg26880963,81,1,65209468.0,1.0,54,1,1,55
cg05780006,82,1,65524084.0,1.0,55,1,1,56
cg12046882,83,1,66824988.0,1.0,56,1,1,57
cg20594809,84,1,75594531.0,1.0,57,1,1,58
cg25846022,85,1,78444909.0,1.0,58,1,1,59
cg06121193,89,1,90282411.0,1.0,59,1,1,60
cg22501793,90,1,91173232.0,1.0,60,1,1,61
cg23845507,92,1,91966731.0,1.0,61,1,1,62
cg13639937,93,1,92012655.0,1.0,62,1,1,63
cg04720380,94,1,93297552.0,1.0,63,1,1,64
cg07354738,97,1,101491561.0,1.0,64,1,1,65
cg10536901,99,1,108735312.0,1.0,65,1,1,66
cg08942192,100,1,108735334.0,1.0,66,1,1,67
cg17107246,103,1,108735549.0,1.0,67,1,1,68
cg24939845,108,1,110627473.0,1.0,68,1,1,69
cg20302133,111,1,111217194.0,1.0,69,1,1,70
cg24874173,115,1,145385677.0,1.0,70,1,1,71
cg13947666,116,1,145473295.0,1.0,71,1,1,72
cg00102955,117,1,150230345.0,1.0,72,1,1,73
cg24425838,118,1,151812435.0,1.0,73,1,1,74
cg13396821,120,1,154812952.0,1.0,74,1,1,75
cg12719510,121,1,155024394.0,1.0,75,1,1,76
cg11218974,122,1,156023978.0,1.0,76,1,1,77
cg08474603,124,1,159684431.0,1.0,77,1,1,78
cg15580417,125,1,160053947.0,1.0,78,1,1,79
cg07813643,126,1,160159225.0,1.0,79,1,1,80
cg00149213,127,1,160617124.0,1.0,80,1,1,81
cg17245754,128,1,163389844.0,1.0,81,1,1,82
cg01809639,129,1,167602860.0,1.0,82,1,1,83
cg12667031,130,1,169878852.0,1.0,83,1,1,84
cg18161025,131,1,177144293.0,1.0,84,1,1,85
cg16898334,132,1,181767774.0,1.0,85,1,1,86
cg18611847,134,1,182573759.0,1.0,86,1,1,87
cg26539023,138,1,201369031.0,1.0,87,1,1,88
cg05930496,139,1,201646107.0,1.0,88,1,1,89
cg07134622,140,1,201729331.0,1.0,89,1,1,90
cg09889216,142,1,202777618.0,1.0,90,1,1,91
cg07232945,143,1,203096570.0,1.0,91,1,1,92
cg25623721,145,1,204120947.0,1.0,92,1,1,93
cg20270863,148,1,210407484.0,1.0,93,1,1,94
cg17750334,149,1,214776613.0,1.0,94,1,1,95
cg24346507,150,1,217114101.0,1.0,95,1,1,96
cg05367960,152,1,220445206.0,1.0,96,1,1,97
cg21680222,153,1,220445787.0,1.0,97,1,1,98
cg14231871,154,1,220702321.0,1.0,98,1,1,99
cg20386818,155,1,220836705.0,1.0,99,1,1,100
cg26000554,156,1,220921614.0,1.0,100,1,1,101
cg24666355,158,1,222923875.0,1.0,101,1,1,102
cg13397345,159,1,228111975.0,1.0,102,1,1,103
cg00213004,160,1,228593622.0,1.0,103,1,1,104
cg13799227,161,1,228652581.0,1.0,104,1,1,105
cg17016830,162,1,228782809.0,1.0,105,1,1,106
cg18022279,164,1,231473268.0,1.0,106,1,1,107
