cpg_id,original_index,CHR,MAPINFO,chr_order,genome_rank
cg12663811,1,1,901685.0,1.0,0
cg05528516,2,1,1070040.0,1.0,1
cg08641866,3,1,1141790.0,1.0,2
cg13897675,4,1,1374310.0,1.0,3
cg12909536,5,1,1408104.0,1.0,4
cg07835437,6,1,1470836.0,1.0,5
cg15825127,7,1,1957073.0,1.0,6
cg26610624,8,1,1981268.0,1.0,7
cg21137823,9,1,1981270.0,1.0,8
cg20103201,10,1,2458021.0,1.0,9
cg22949832,11,1,3047342.0,1.0,10
cg12133393,12,1,3816695.0,1.0,11
cg04292104,13,1,4816720.0,1.0,12
cg06954199,14,1,5893907.0,1.0,13
cg02460223,15,1,8398664.0,1.0,14
cg14164492,16,1,9439003.0,1.0,15
cg02504229,17,1,9555380.0,1.0,16
cg04162034,18,1,9710821.0,1.0,17
cg20994801,19,1,9711398.0,1.0,18
cg17243540,21,1,12018611.0,1.0,19
cg20463261,22,1,12073445.0,1.0,20
cg04145937,24,1,14504113.0,1.0,21
cg06536159,26,1,15631449.0,1.0,22
cg18219212,28,1,16162653.0,1.0,23
cg02287573,29,1,16544088.0,1.0,24
cg09821328,31,1,18152144.0,1.0,25
cg15673188,32,1,18689063.0,1.0,26
cg03517918,33,1,19946398.0,1.0,27
cg12271781,34,1,20126180.0,1.0,28
cg17975245,35,1,20959890.0,1.0,29
cg11953164,38,1,23521307.0,1.0,30
cg24792360,39,1,24195143.0,1.0,31
cg08757148,40,1,24513722.0,1.0,32
cg11329235,42,1,24969260.0,1.0,33
cg21268256,43,1,25509521.0,1.0,34
cg21826606,44,1,25593055.0,1.0,35
cg24991732,45,1,25594486.0,1.0,36
cg10649647,49,1,27719310.0,1.0,37
cg19869139,50,1,29138077.0,1.0,38
cg03459646,51,1,29557674.0,1.0,39
cg21682382,54,1,32538052.0,1.0,40
cg22350438,55,1,33150185.0,1.0,41
cg17434472,56,1,35496883.0,1.0,42
cg22690046,57,1,36863663.0,1.0,43
cg15601529,59,1,38223969.0,1.0,44
cg01921777,62,1,40839564.0,1.0,45
cg14498674,63,1,41707653.0,1.0,46
cg25047378,64,1,44412582.0,1.0,47
cg08947153,67,1,46664340.0,1.0,48
cg16634661,68,1,46954794.0,1.0,49
cg23219046,72,1,54142810.0,1.0,50
cg20569588,75,1,55267285.0,1.0,51
cg26196860,77,1,59745563.0,1.0,52
cg01051545,79,1,61508955.0,1.0,53
cg26880963,81,1,65209468.0,1.0,54
cg05780006,82,1,65524084.0,1.0,55
cg12046882,83,1,66824988.0,1.0,56
cg20594809,84,1,75594531.0,1.0,57
cg25846022,85,1,78444909.0,1.0,58
cg06121193,89,1,90282411.0,1.0,59
cg22501793,90,1,91173232.0,1.0,60
cg23845507,92,1,91966731.0,1.0,61
cg13639937,93,1,92012655.0,1.0,62
cg04720380,94,1,93297552.0,1.0,63
cg07354738,97,1,101491561.0,1.0,64
cg10536901,99,1,108735312.0,1.0,65
cg08942192,100,1,108735334.0,1.0,66
cg17107246,103,1,108735549.0,1.0,67
cg24939845,108,1,110627473.0,1.0,68
cg20302133,111,1,111217194.0,1.0,69
cg24874173,115,1,145385677.0,1.0,70
cg13947666,116,1,145473295.0,1.0,71
cg00102955,117,1,150230345.0,1.0,72
cg24425838,118,1,151812435.0,1.0,73
cg13396821,120,1,154812952.0,1.0,74
cg12719510,121,1,155024394.0,1.0,75
cg11218974,122,1,156023978.0,1.0,76
cg08474603,124,1,159684431.0,1.0,77
cg15580417,125,1,160053947.0,1.0,78
cg07813643,126,1,160159225.0,1.0,79
cg00149213,127,1,160617124.0,1.0,80
cg17245754,128,1,163389844.0,1.0,81
cg01809639,129,1,167602860.0,1.0,82
cg12667031,130,1,169878852.0,1.0,83
cg18161025,131,1,177144293.0,1.0,84
cg16898334,132,1,181767774.0,1.0,85
cg18611847,134,1,182573759.0,1.0,86
cg26539023,138,1,201369031.0,1.0,87
cg05930496,139,1,201646107.0,1.0,88
cg07134622,140,1,201729331.0,1.0,89
cg09889216,142,1,202777618.0,1.0,90
cg07232945,143,1,203096570.0,1.0,91
cg25623721,145,1,204120947.0,1.0,92
cg20270863,148,1,210407484.0,1.0,93
cg17750334,149,1,214776613.0,1.0,94
cg24346507,150,1,217114101.0,1.0,95
cg05367960,152,1,220445206.0,1.0,96
cg21680222,153,1,220445787.0,1.0,97
cg14231871,154,1,220702321.0,1.0,98
cg20386818,155,1,220836705.0,1.0,99
cg26000554,156,1,220921614.0,1.0,100
cg24666355,158,1,222923875.0,1.0,101
cg13397345,159,1,228111975.0,1.0,102
cg00213004,160,1,228593622.0,1.0,103
cg13799227,161,1,228652581.0,1.0,104
cg17016830,162,1,228782809.0,1.0,105
cg18022279,164,1,231473268.0,1.0,106
cg19712123,165,1,232940329.0,1.0,107
cg04158884,166,1,233086346.0,1.0,108
cg23012855,167,1,235111328.0,1.0,109
cg00081729,168,1,240656737.0,1.0,110
cg01787565,170,1,245318209.0,1.0,111
cg11901695,175,2,1291450.0,2.0,112
cg17494408,176,2,1500368.0,2.0,113
cg00027081,179,2,3325158.0,2.0,114
cg07545140,180,2,3468531.0,2.0,115
cg01144053,182,2,7571361.0,2.0,116
cg14973360,183,2,9800511.0,2.0,117
cg03257743,187,2,11123616.0,2.0,118
cg12680106,189,2,11397475.0,2.0,119
cg25420747,192,2,18112176.0,2.0,120
cg00060627,193,2,18112721.0,2.0,121
cg02156767,194,2,20442210.0,2.0,122
cg17933838,196,2,24149877.0,2.0,123
cg18740718,197,2,24346220.0,2.0,124
cg22900229,199,2,25391773.0,2.0,125
cg17995197,200,2,26408167.0,2.0,126
cg19635810,202,2,26987197.0,2.0,127
cg26143752,204,2,27806326.0,2.0,128
cg27447296,205,2,27994265.0,2.0,129
cg23361659,206,2,28914775.0,2.0,130
cg02678688,207,2,29093594.0,2.0,131
cg25080256,209,2,31215798.0,2.0,132
cg15756055,212,2,39645955.0,2.0,133
cg06226256,213,2,42068648.0,2.0,134
cg18192610,215,2,44741623.0,2.0,135
cg06168026,216,2,45162196.0,2.0,136
cg19186145,217,2,45169562.0,2.0,137
cg26391832,218,2,45237929.0,2.0,138
cg17590135,219,2,48647546.0,2.0,139
cg14059729,220,2,48667654.0,2.0,140
cg22324022,221,2,51259703.0,2.0,141
cg02271560,224,2,55450737.0,2.0,142
cg16878059,225,2,68692224.0,2.0,143
cg07052880,227,2,71161697.0,2.0,144
cg01017244,228,2,74357527.0,2.0,145
cg15717656,229,2,74709666.0,2.0,146
cg02845591,230,2,74730523.0,2.0,147
cg01656789,231,2,74803718.0,2.0,148
cg02301651,232,2,85581802.0,2.0,149
cg20944303,233,2,85788999.0,2.0,150
cg05487424,236,2,88991089.0,2.0,151
cg10067737,237,2,89159188.0,2.0,152
cg03856178,238,2,97202314.0,2.0,153
cg14228484,239,2,97427445.0,2.0,154
cg19255191,240,2,98262923.0,2.0,155
cg10313151,243,2,106882254.0,2.0,156
cg26585007,245,2,112655072.0,2.0,157
cg07771321,248,2,125368595.0,2.0,158
cg22009500,249,2,127729962.0,2.0,159
cg00939727,251,2,134935506.0,2.0,160
cg07508773,257,2,160143020.0,2.0,161
cg07363270,260,2,171569282.0,2.0,162
cg04863950,262,2,172379709.0,2.0,163
cg03978860,265,2,173936880.0,2.0,164
cg27452943,266,2,174281033.0,2.0,165
cg25849196,267,2,175198280.0,2.0,166
cg00928397,268,2,175198952.0,2.0,167
cg25371634,269,2,176981422.0,2.0,168
cg02164574,270,2,176985592.0,2.0,169
cg02952635,271,2,178741216.0,2.0,170
cg25207147,273,2,178973079.0,2.0,171
cg12501949,274,2,179750458.0,2.0,172
cg09997497,275,2,183902928.0,2.0,173
cg20391764,277,2,192110565.0,2.0,174
cg10547527,278,2,198650123.0,2.0,175
cg08404560,279,2,201390889.0,2.0,176
cg01747077,281,2,211035257.0,2.0,177
cg07181395,283,2,218655229.0,2.0,178
cg04218124,285,2,219284345.0,2.0,179
cg26104932,287,2,219647360.0,2.0,180
cg21586955,288,2,220042941.0,2.0,181
cg20402664,289,2,220379833.0,2.0,182
cg16507172,290,2,220416148.0,2.0,183
cg21665557,291,2,220427342.0,2.0,184
cg05495011,292,2,224477964.0,2.0,185
cg17075808,293,2,225774214.0,2.0,186
cg16640096,295,2,228029790.0,2.0,187
cg08802203,299,2,233415465.0,2.0,188
cg06143658,302,2,233878015.0,2.0,189
cg03146452,303,2,234777078.0,2.0,190
cg01078197,304,2,234777085.0,2.0,191
cg13539030,305,2,235405968.0,2.0,192
cg21357361,306,2,236578247.0,2.0,193
cg00573606,307,2,238322680.0,2.0,194
cg10980911,308,2,239509139.0,2.0,195
cg18959169,311,2,240239988.0,2.0,196
cg16235062,312,2,241374719.0,2.0,197
cg19321126,313,2,242211919.0,2.0,198
cg23881902,314,2,242212470.0,2.0,199
cg22843684,316,3,10806114.0,3.0,200
cg06457736,317,3,11178683.0,3.0,201
cg27574595,320,3,25583274.0,3.0,202
cg23030339,321,3,31703127.0,3.0,203
cg05073904,322,3,31975169.0,3.0,204
cg15840985,323,3,32023475.0,3.0,205
cg26615813,324,3,36422209.0,3.0,206
cg22884020,325,3,38081186.0,3.0,207
cg14623735,327,3,42265667.0,3.0,208
cg17060263,328,3,42453125.0,3.0,209
cg13702846,329,3,42888883.0,3.0,210
cg15088777,330,3,43147571.0,3.0,211
cg22309949,331,3,46792192.0,3.0,212
cg23231268,332,3,46792462.0,3.0,213
cg21792155,333,3,46940347.0,3.0,214
cg11733272,334,3,46940439.0,3.0,215
cg04507495,335,3,47563649.0,3.0,216
cg13432286,337,3,49027002.0,3.0,217
cg15485556,338,3,49066777.0,3.0,218
cg11839681,339,3,49940919.0,3.0,219
cg19152024,340,3,50374954.0,3.0,220
cg08443345,341,3,52232454.0,3.0,221
cg09244635,343,3,57529873.0,3.0,222
cg00036369,348,3,63988378.0,3.0,223
cg19630681,350,3,64429607.0,3.0,224
cg03024619,352,3,71803308.0,3.0,225
cg24998020,354,3,98311910.0,3.0,226
cg21855281,355,3,99817572.0,3.0,227
cg15102593,356,3,100120429.0,3.0,228
cg27318481,357,3,100970896.0,3.0,229
cg20382831,359,3,109128982.0,3.0,230
cg02858625,360,3,112935090.0,3.0,231
cg18753928,361,3,113234510.0,3.0,232
cg22367727,362,3,114102609.0,3.0,233
cg08104999,364,3,118906821.0,3.0,234
cg12173586,368,3,120194768.0,3.0,235
cg08122652,369,3,122281939.0,3.0,236
cg22896480,370,3,122379438.0,3.0,237
cg14567877,371,3,123071300.0,3.0,238
cg01296199,372,3,123752573.0,3.0,239
cg10977398,373,3,124606490.0,3.0,240
cg03061024,374,3,129159000.0,3.0,241
cg12592179,378,3,133920644.0,3.0,242
cg01342115,379,3,134031663.0,3.0,243
cg25646708,380,3,134031685.0,3.0,244
cg24269840,384,3,137728712.0,3.0,245
cg22920594,385,3,139327076.0,3.0,246
cg06711656,386,3,140660335.0,3.0,247
cg16201661,390,3,156763772.0,3.0,248
cg06667063,391,3,158519627.0,3.0,249
cg18703913,392,3,159943073.0,3.0,250
cg13027369,393,3,160279320.0,3.0,251
cg02860240,395,3,169530621.0,3.0,252
cg07754117,398,3,170183336.0,3.0,253
cg27026033,400,3,171757336.0,3.0,254
cg06081563,401,3,183884625.0,3.0,255
cg09746170,403,3,185541835.0,3.0,256
cg02402071,404,3,185827054.0,3.0,257
cg12435415,406,3,186490344.0,3.0,258
cg22984571,407,3,186490656.0,3.0,259
cg21530419,408,3,186490728.0,3.0,260
cg00951972,409,3,186490777.0,3.0,261
cg20388194,410,3,187416183.0,3.0,262
cg03505583,411,3,187461469.0,3.0,263
cg03677101,412,3,187461796.0,3.0,264
cg20791669,414,3,190232025.0,3.0,265
cg11134430,416,3,193987426.0,3.0,266
cg02523270,417,3,193987651.0,3.0,267
cg16282892,418,3,193987757.0,3.0,268
cg08521684,419,3,195488725.0,3.0,269
